tagalog,english,cebuano
Anong ginagawa nila?,What are they doing?,Unsa ilahang ginahimo?
Lakas ang kaalaman.,Knowledge is power.,Kalig-on ang kahibalo.
Natutuwa ako sa paglalangoy.,I enjoy swimming.,Malingaw ko sa paglangoy-langoy.
Nakakapaglangoy ako nang mabuti.,I can swim well.,Makalangoy ko ug tarong.
Nag-iba ang ating paraan sa buhay nang ipinakilala ang sibilisasyong taga-Europa.,Our way of life changed when the European civilization was introduced.,Nalahi ang atoang panginabuhi sugod atong sibilisasyon sa taga-Europa.
Nag-iba ang aming paraan sa buhay nang ipinakilala ang sibilisasyong taga-Europa.,Our way of life changed when European civilization was introduced.,Nalahi ang amoang panginabuhi sugod atong sibilisasyon sa taga-Europa.
Babay na! Utoy!,It's a girl! Stupid!,Adto na mi! Utoy!
Narindi siya sa mga balita.,He heard about it on the news.,Wala siya naganahan sa mga balita.
Di ko gusto ang tunog nang gumugusot na selopeyn.,I don't like the sound of crumpled cellophane.,Dili ko ganahan sa tingog sa ginakumot nga silopin.
Sinong nagturo sa iyo ng pagsayaw?,Who taught you to dance?,Kinsa ang nagtudlo sa imuha ug sayaw?
Marami kaming tubig.,We have a lot of water.,Abunda mi sa tubig.
Marami tayong tubig.,We have a lot of water.,Abunda ta sa tubig.
Di ako dalubhasa sa jazz.,I'm not a jazz expert.,Dili ko hawod sa jazz.
Wala siyang pensil.,He doesn't have a pencil.,Wala siyay lapis.
Ilang taon na siya?,How old is he?,Pila katuig na siya?
Nagligo sila sa lawa.,They bathed in the lake.,Nangaligo sila sa lanaw.
Di na nila ipinagbibili yung produkto.,They no longer sell the product.,Dili na nila ibaligya ang kanang produkto.
Anong gusto mong bilhin?,What do you want to buy?,Unsang gusto nimong paliton?
Gusto kong magbiyaheng palibot ang daigdig.,I want to travel around the world.,Gusto ko mubiyahe tibuok kalibutan.
Bumalik na ba siya?,Is he back?,Nibalik na ba siya?
Malaki itong bahay.,It's a big house.,Dako kining balay.
Malaki ang libro.,The book is big.,Dako ang libro.
Nagbiyahe siyang mabuti nang buong buhay niya.,He traveled well all his life.,Nagbiyahe siya ug maayo sa tibuok niyang kinabuhi.
Tumatakbo siya.,He is running.,Nidagan siya.
Malaki ang palengke.,The market is big.,Dako ang merkado.
Kumakain ng tinapay ang batang lalaki.,The boy is eating bread.,Nagakaon og pan ang lalaki na bata.
Pumarini ka nang pinakabilis.,Come here as soon as possible.,Adto ka dri nga paspas.
"Hindi, pero nagtetenis ako.","No, but I play tennis.","Dili, apan nagatenis ko."
Totoo itong teorya para sa Hapon.,This theory is true for Japan.,Tinuod kining teyorya para sa Hapon.
Alaala mo ba?,do you remember,Nahinumduman ba nimo?
Ang kalibuhang kagandahan ng tag-initang kabundukang damuhang kasama ang kanyang walang bilang na di-halatang kulay-kulayan ay pinupuno ang puso ko ng belyudong damdaming kaligayahan.,The immense beauty of the summer mountain grass with its countless invisible colors fills my heart with a velvety feeling of happiness.,Ang baryong kaanyag sa init nga kabukirang sagbot kauban ang iyang walay ihap na dili klarong gikolor-koloran kay gipuno ang kasingkasing ko og balong pagbating kalipay.
Tawagan mo ako sa opisina.,Call me at the office.,Tawaga ko nimo sa opisina.
Di sila pumalakpak para sa atin.,They didn't clap for us.,Wala sila namalakpak para sa ato.
Di sila pumalakpak para sa amin.,They didn't clap for us.,Wala sila namalakpak para sa amo.
Gaanong kalimit na dapat kang nagpalit ng tren?,How often should you change trains?,Unsa kadaghan nga kinahanglan ka nagkambyo ug tren?
Aling laro ang gusto mo?,Which game do you like?,Asa sa dula ang gusto nimo?
Medyo huli na para magdasal.,It's a little late to pray.,Medyo ulahi na ang pag ampo.
Walang kasaysayan ang sagot mo.,Your answer has no history.,Walay pulos ang imong tubag.
May oras para sa lahat.,There is a time for everything.,Adunay oras para sa tanan.
Handa na ang awto.,The car is ready.,Andam na ang sakyanan.
Lumusot sila sa bunton.,They slipped through the pile.,Nilusot sila sa tapok.
"Ang tawag natin sa nayon na ito'y ""Munting Kyoto.""","We call this village ""Little Kyoto.""","Ang tawag nato sa kini nga baryo, ""Gamay na Kyoto."""
Mayroon siyang di bawas nang limang librong Ingles.,He has at least five English books.,Aduna siyay dili mo ubos sa lima ka libro sa Ingles.
Meron ka bang kaibigan sa Antigua?,Do you have friends in Antigua?,Aduna ba kay higala sa Antingua?
Maglalabing-pitong taon na ako nang kasunod na linggo.,I will be seventeen next week.,Magnalog pito na akong edad sa sunod nga semana.
Posible ang alternatibo.,The alternative is possible.,Mahimo ang ipangpuli.
Sulatan mo ako pagkarating mo.,Write to me when you arrive.,Sulati ko pag abot nimo.
Wala akong gustong gawin ngayon.,I don't want to do anything right now.,Wala koy gustong buhaton karon.
Parang maputla ka ngayon.,You look pale now.,Murag luspad ka karon.
"Siya, may problema...","He, there is a problem...","Siya, adunay problema."
Tinapos namin ang diskusyon.,We ended the discussion.,Gihuman namo ang panag-estoryahay.
Tinapos natin ang diskusyon.,We have finished the discussion.,Gihuman nato ang panag estoryahay.
Interesado talaga ang anak ko sa mga kalikasang agham.,My son is really interested in natural sciences.,Interesado bitaw ang anak ko sa mga kinaiyahang alamdag.
Pinuno na niya ang buong aparador ng mga dinalang bato.,He had already filled the entire cupboard with the stones he had brought.,Gipuno na niya nag tibuok aparador og mga dinalang bato.
Alam ko ang marikit na kastilyo.,I know the beautiful castle.,Kabalo ko sa nindot nga kastilyo.
Bakit bughaw ang langit?,Why is the sky blue?,Nganong asul ang langit?
Magaling siyang magtenis.,He is good at tennis.,Hawud xa magtenis.
Nasaan ang kanyang pamilya?,Where is his family?,Asa ang iyang pamilya?
Munting Tokyo ang tawag namin sa nayong ito.,We call this village Little Tokyo.,Gamay na Tokyo ang tawag namo sa baryo.
Magaling na estudyante si Tomas.,Tomas is a good student.,Maayo nga estudyante sis Tomas.
Pumunta ka ba sa Cairo o sa Alexandria?,Did you go to Cairo or to Alexandria?,Niadto ba ka sa Cairo sa Alexandria?
"Bagamat siya'y mayaman, di siya maligaya.","Although he is rich, he is not happy.","Maski datu siya, apan dili xa malipayon."
Libre ka ba nitong wik-end?,Are you free this weekend?,Bakante ba ka karong wik-end?
Nanalo ang Estados Unidos sa karerang papunta sa buwan.,The United States won the race to the moon.,Nidaog ang Estados Unidos sa sangka padulong sa bulan.
Di isda ang lumba-lumba at balyena.,Dolphins and whales are not fish.,Dili isda ang lumba-lumba ug balyena.
Maglalaro kita.,I will play with you.,Magdula kita.
Bata pa sila.,They are young.,Gamay pa sila.
Gusto ko nang umiyak.,I want to cry.,Gusto ko muhilak.
Puwede mo bang bilisan?,can you hurry,Mahimo ba nimong paspasan?
"Kung may oras ako, bibisitahin kita nang kaysaya.","If I have time, I will visit you with pleasure.","Kung aduna ko'y panahon, mubisita ko na malipayon."
Kontento ba sila?,Are they satisfied?,Kontento ba sila?
Huwag mong paglaruan ang susi.,Do not play with the key.,Ayaw dulai ang yabi.
Nagsisisi ako sa pagkain nung talaba.,I regret eating that oyster.,Nagbasol ko sa pagkaon og kinason.
Kumakain ako ng tinapay.,I eat bread.,Nikaon ko og pan.
Umiyak yung bata nang ilang oras.,The child cried for several hours.,Nihilak ang bata sa pila ka oras.
Gawin mo kung posible.,Do it if possible.,Himua kung mahimo.
Pero wala akong pera.,But I don't have money.,Apan wala koy kwarta.
Walang bayad iyan.,That's free.,Wala na'y bayad.
Humiga siya sa kama.,He lay down on the bed.,Nihigda siya sa kama.
"Isip kong dapat umalis na tayo. ""Ako rin.""","I think we should go. ""Me too.""","Sa akong hunahuna, kinahanglan muhawa na kita. ""Ako pod."""
"Isip kong dapat umalis na kami. ""Ako rin.""","I think we should leave. ""Me too.""","Sa akong hunahuna, kinahanglan muhawa na kami. ""Ako pod."""
Gaanong katagal ka nang buntis?,How long have you been pregnant?,Unsa kadugay ka nang buntis?
Magpalit ng tren sa Shinjuku.,Change trains at Shinjuku.,Magkambyo og tren sa Shinjuku.
Naparinig ko rin ang kahawig na kuwento.,I heard a similar story.,Nadungog pod nako ang kapareho na estorya.
"Hindi hindot ang matematika, ikaw.","Math is not boring, you.","Dili pangit ang matematika, ikaw."
"Alam ng lahat ang gusto, pero di alam ng lahat ang kaya.","Everyone knows what they want, but not everyone knows what they can do.","Kabalo ang tanan sa gusto, apan dili kabalo kon kaya."
Iyo ba itong lapis?,Is this your pencil?,Imuha ba kining lapis?
Naghihintay ako ng tawag niya.,I'm waiting for his call.,Naghulat ko iyang tawag.
"Salamat sa ating guni-guni, nasasakop natin ang mga hanggang nalagay tayo sa espasyo-panahon.","Thanks to our imagination, we are able to cover the places where we are placed in space-time.","Salamat sa atong handurawan, nasakop nato hangtud sa nabutang kita sa giblang panahon."
"Sa tag-init, gumagamit ng payong para liliman ang mukha.","In summer, an umbrella is used to shade the face.","Sa tag-init, mugamit og payong aron landungan ang nawong."
"Sa lambak na iyon, labis nang karaniwang masiksik at malilim ang gubat.","In that valley, the forest is usually very dense and shady.","Sa kana nga walog, haska kabaga ug malandong ang lasang."
Maligaya't kami'y nakatakas sa malaking toldang sumangga para sa amin sa sinag ng walang awang araw.,Happily we escaped from the big tent sheltered for us in the rays of the merciless sun.,Nalipay kami nakaikyas sa dakong tolda nga nisagang para sa amo sa silaw nga walay kaluoy na adlaw.
Tumanaw ako sa dagat nang ilang oras.,I looked at the sea for some time.,Nitan-aw ko sa dagat sa pila ka oras.
Ang libangan ko lamang ay ang larong Go.,My only hobby is the game Go.,Ang akong kalingawan kay ang dulang Go.
Ito'y wala kundi ksenopobya.,This is nothing but xenophobia.,"Kini wala, kondili ksenopobya."
"Nakasulat sa bulaklaking wika ng ika-19 na dantaon, nakakatuwa ang mga kuwento, mas kaysa sa mahinahong wika ng ating panahon.","Written in the flowery language of the 19th century, the stories are amusing, more so than the calm language of our time.","Nakasulat sa mabuwakong sinultian sa ika-19 ka siglo, makalingaw ang mga istorya sauna kaysa sa kalma nga sinultian karong panahon."
Para lamang sa tag-init ang bisikleta.,The bike is only for summer.,Alang lang sa tag-init ang bisikleta.
Gusto mong magkimono?,Do you want to wear kimono?,Gusto nimo magkimono?
Ginuwardiya niya ang sekreto.,He guards the secret.,Giguwardiyahan niya ang sekreto.
Huwag mag-alala.,Don't worry.,Ayaw kabalaka
Wala naman talagang may kasaysayan.,Nothing really has a history.,Wala man gyod na hunungdan.
Saan tayo ngayon maghahapunan?,Where are we going to have dinner today?,Asa kita karon manihapon?
Saan kami ngayon maghahapunan?,Where are we going to have dinner today?,Asa ta karon manihapon?
Pumarini't mag-usapan tayo tungkol sa mga bulaklak!,Come and let's talk about flowers!,Painit og mag estorya kita mahitungod sa mga bulak.
"Magaling ang magbasa, mas magaling ang maalaala.","Good to read, better to remember.","Hawud ang magbasa, mas hawud ang makahinumdom."
Tinapos mo na ba?,have you finished,Gihuman na ba nimo?
Pumunta ako sa Tokyo para bilhin yung libro.,I went to Tokyo to buy the book.,Miadto ko sa Tokyo aron paliton ang libro.
Ang Esperanto'y pinakamadaling pag-aralang wika.,Esperanto is the easiest language to learn.,Ang Esperanto'y ang pinakasayon tun-an nga pinulongan.
Nagsiyesiyesta siya.,He took a siesta.,Nagpahulay siya.
Di importante kung saan ka papunta; di mo mahahanap ang lugar nang katulad ng tahanan.,It doesn't matter where you're going; you won't find a place like home.,Dili mahinungdanon kung asa ka moadto; dili ka makakita ug usa ka lugar sama sa inyong balay.
Nakareserba na ang mesa.,The table is already reserved.,Nakagahin na ang lamesa.
Iwasan mong buksan ang bintana; wala akong masyadong hilig na maramdaman ang hangin sa likod ko.,Avoid opening the window; I don't like to feel the wind behind me.,Likayan nimong abrehan ang bintana; Wala kaayo koy hilig na mabati ang hangin sa akong likod.
Aling linya ng bus ang kukunin ko?,Which bus line should I take?,Asa nga linya sa bus ang imong kuhaon?
Palaging nangungulimlim.,Always overcast.,Pirmi dag-om.
Mura itong gamit.,It's cheap stuff.,Barato kining butang.
Nakatayo ang bahay ko sa harap ng dagat.,My house stands in front of the sea.,Nakatukod akong balay atubangan sa dagat.
Nakaupo ang tao sa kabila ng bangbang.,The man was sitting across the bangbang.,Nakalingkod ang tao maski adunay bangbang.
Mapanganib lumangoy sa lawa.,It is dangerous to swim in the lake.,Peligroso ang mulangoy sa lanaw.
May nakakatuwang libro siya.,He has a fun book.,Adunay kataw-anan nga libro siya.
Di palaging narito si Taro.,Taro is not always here.,Dili pirimi naa si Taro.
Bumili siya ng lagayan ng tsa.,He bought a tea bag.,Mipalit siya og butanganan og tsa.
Nagtaka kami sa matalinghagang silid.,We wondered about the figurative room.,Nagtingala kami sa tanghagang kwarto.
Nasiyahan ang bata sa pasalubong.,The boy was pleased with the welcome.,Nalipay ang bata sa gasa.
Una,First,Una
Pangalawa,Second,Ikaduha
Ikatlo,Third,Ikatulo
Pangalawa sa huli,Second to last,Ikaduha sa katapusan
Huli,Late,Ulahi
Gaanong katagal ka tumigil sa Hapon?,How long did you stay in Japan?,Unsa kadugay ka muondang sa hapon?
Puwede ko bang buksan ang isang kahon?,Can I open a box?,Mahimo ba nakong abrehan ang usa ka kahon?
May bagong libro ka ba?,do you have a new book,Aduna ba kay bag-ong libro?
Nais nating lahat ang kapayapaan.,We all want peace.,Gusto namo tanan ang kalinaw.
Nais naming lahat ang kapayapaan.,We all want peace.,Gussto natong tanan ang kalinaw.
"Sa kasalukuyan, tama ka.","Currently, you are correct.","Sa karon, tama ka."
Kamusta ang bakasyon mo?,how was your vacation,Kumusta ang bakasyon nimo?
Nagdiyediyeta siya.,He is on a diet.,Nagadiyeta siya.
Kailangang labhan.,Need to wash.,Kinahanglan labhan.
"Nung naglalakad ako sa parke, nakita ko ang isang sanggol na ibon.","When I was walking in the park, I saw a baby bird.","katong naglakaw ko sa suyoranan, nakita nako ang usa ka batang langgam."
Nag-iiba ang panahon nang oras-orasan.,The weather varies from hour to hour.,Ang oras magkalain-lain matag oras.
Siya'y lalaking konti lamang ang salita.,He is a man of few words.,Lalake sila nga adunay pipila ra ka mga pulong.
"Sa wakas, dumating kami sa lawa.","Finally, we arrived at the lake.",Ug nakaabot ra gyud mi sa lawa.
"Sa wakas, dumating tayo sa lawa.","Finally, we come to the lake.",Ug nakaabot ra gud ta sa lawa.
Tinawagan ako sa Tokyo.,I was called to Tokyo.,Gitawagan ko sa Tokyo.
May asukal ba?,Is there sugar?,Aduna ba kay asukar?
Di ka pa nagdisisyon?,You haven't decided yet?,Wala pa ka kadesisyon?
Pabalik ako sa isang oras.,I'll be back in an hour.,Mobalik ra ko paghuman sa usa ka oras.
Dumating si Tomas nang kalahating oras na maaga.,Tomas arrived half an hour early.,Niabot si Tomas ug sayo sa medya oras.
Kumain at uminom.,Eat and drink.,nikaon ug niinom.
Di siya tumigil ng pagsasalita.,He didn't stop talking.,Wala siya niundang og estorya.
Saan mo gustong pumunta?,Where do you want to go?,Asa nimo gustong muadto?
Binigyan ko ang kapatid ko ng diksiyunaryo.,I gave my brother a dictionary.,Gihatagan nako ang akong igsoon og kapulongnan.
Anong meron para kainin?,What is there to eat?,Unsa ang anaa aron kan-on?
Naparinig niyang umiyak siya sa gitna ng gabi.,He heard her cry in the middle of the night.,Nakadungog siyang mihilak siya sa tungang gabii.
Nilabas ng mga koneho ang ilong nila.,The rabbits stuck their noses out.,Gigawas sa mga kuneho ang ilang ilong.
Talagang interesado ako sa Pranses.,I am really interested in French.,Intereasado bitaw ako sa Pranses.
Haharapin ko ng lubusan ang paliwanag sa pista.,I will deal fully with the explanation of the festival.,Hingpit kong atubangon ang pagpahayag sa piyesta.
Magandang kuwitis ang nagtapos sa dalawang maligayang araw na iyon.,A good farewell ended those two happy days.,Nindot nga kwitis ang nihuman ato nga duha ka malipayong adlaw.
Nagpapaypay si Tomas ng sarili niya.,Tomas fanned himself.,Gipaypayan ni Tomas ang kaugalingon niya.
Nag-aabaniko si Tomas ng sarili niya.,Tomas is talking about himself.,Namaypay si Tomas sa kaugalingon niya.
Dayuhan si Tomas sa bayang ito.,Tomas is a foreigner in this town.,Langyaw si Tomas sa kini nga lungsod.
Nangingisda sa ilog si Tomas.,Tomas was fishing in the river.,Nangisda sa suba si Tomas.
Nagpriprito ng itlog si Tomas.,Tomas fried an egg.,Ngprito ug itlog si Tomas.
Papunta sa bangko si Tomas.,Tomas is going to the bank.,Padulong sa bangko si Tomas.
Nag-iihaw ng karne si Tomas.,Tomas is grilling meat.,Nag ihaw og unod si Tomas.
Itaas ang berdeng kortina!,Raise the green curtain!,Itaas ang lunhaw na kurtina!
"Biglang umulan, pero naglakad pa kami.","It suddenly started raining, but we kept walking.","Klit niulan, apan naglakaw pa mi."
Kape ang pangunang produkto ng Brasil.,Coffee is Brazil's main product.,Kape ang nangunang produkto sa Brazil.
Maraming impormasyon itong diksiyunaryo.,This dictionary has a lot of information.,Daghang kasayuran niining kapulongan.
May tindahan ba sa su?,Is there a store in su?,Aduna bay tindahan sa su?
May tindahan ba sa hayupan?,Is there a pet store?,Anaa bay tindahan sa hayupan?
Sinusubukan ni Tomas ang sapatos.,Tomas tries on the shoes.,Gitistingan ni Tomas ang sapatos.
Binababa ni Tomas ang tunog ng radyo.,Tomas lowers the volume of the radio.,Gipahinayan ni Tomas ang tingog sa radyo.
Nilalaksan ni Tomas ang tunog ng telebisyon.,Tomas applauded the sound of the television.,Gikusgan ni Tomas ang tingog sa TV.
Nagtataka sila sa marikit na tanawin galing sa itaas ng burol.,They marveled at the beautiful view from the top of the hill.,Natingala sila sa maanindot na talan-awon gikan sa taas na buntod.
Nagkakastila sa Colombia.,Spanish in Colombia.,Nagkakastila sa Colombia.
Di ko pa nabasa ang lahat ng aklat.,I haven't read all the books yet.,Wala pa nako nabasa ang tanang libro.
Masarap ito.,It's delicious.,Lami kini.
Wala si Tomas mapuntahan.,Tomas has nowhere to go.,Wala si Tomas maadtuan.
Kailangan kong magdutsa.,I have to take a shower.,Kinahanglan kong mag ula.
Si Florencia'y galing sa Chile.,Florencia is from Chile.,Si Florencia gikan sa Chile.
Taga-Chile siya.,He is from Chile.,Taga-Chile siya.
Nakatira ako sa ika-5 piso.,I live in the 5th floor.,Nakapuyo ako sa ika-singko.
Di ko ginawa para sa iyo.,I didn't do it for you.,Wala nako gibuhat para sa imo.
Mas na mas na nagustuhan ko itong larawan.,I like this picture more and more.,Mas labawng nagustuhan nako ang kining hulagway.
Nagdiskusyon kami nang ilang oras tungkol sa kung ano ang isusulat namin.,We discussed for hours about what to write.,Naghisgot mi sa pila ka oras mahitungod sa kon unsay isulat namo.
Paano mo pinag-aaralan ang Esperanto?,How are you learning Esperanto?,Giunsa nimo pagtuon ang Esperanto?
Hindi na siya galit.,He is no longer angry.,Dili na siya suko.
Pilyo ka.,you are naughty,Maldito ka.
"Aray, ang sakit.","Oh, the pain.","Agay, kasakit!."
Mag-iingat ako sa susunod.,I'll be careful next time.,Mag-amping nako sa sunod.
"Hindi, di mo naiintindihan.","No, you don't understand.","Dili, wala nimo nasabtan."
Magaling ang presyo.,The price is good.,Maayo ang presyo.
Walang problema.,No problem.,Walay problema.
Ang balat ay pinakalaking organo ng katawan.,The skin is the largest organ of the body.,Ang panit ang pinakadakong organo sa lawas.
"Di siya umiimik, bukod na kung kinakausap siya.","He doesn't say anything, except when talking to him.","Wala siya nitingog, maski giestorya na siya."
Bubuksan kong kaunti ang bintana.,I will open the window a little.,Abrehan nako gamay ang bintana.
Yung mga bahay ay mga limang daang taon na.,Those houses are about five hundred years old.,Katong mga balay kay lima kagatos na ang edad.
Mahirap magsalita ng Pranses.,It is difficult to speak French.,Lisud mag estorya og Pranses.
Ang kapayapaan lamang ang makakaligtas ng daigdig.,Only peace can save the world.,Ang kalinaw lamang ang makaluwas sa kalibutan.
Ang Panahong Heian ang pinakahuling bahagi ng klasikong Kasaysayan ng Hapon noong taong 794 haggang 1185.,The Heian Period is the last part of classic Japanese History from 794 to 1185.,Ang Panahong Heian ang pinakaulahing parte sa klasikong kasaysayan sa Hapon saunang tuig 794 hangtud 1185.
Ahente ang trabaho ko.,I work as an agent.,Ahente ang akong trabaho.
Nagtitinda ang trabaho ko.,My job is selling.,Namaligya ang akong trabaho.
Mas gustong magsarili kaysa sa may kasamang sira-ulo.,Better to be alone than to be with a crazy person.,Mas gusto nako mag-inusa ra kaysa makauban ang buang.
Baka magugustuhan mong magtrabaho nang maging tagatulong sa hardin.,You might like to work as a garden helper.,Basin magustuhan nimong magtrabaho na mahimong nagatabang sa tanaman.
"Di na siya pumuntang hardin, di na siya pumuntang bintana.","He didn't go to the garden anymore, he didn't go to the window anymore.","Wala na siya niadto sa tanaman, wala na siya niadto sa bintana."
Nagkasakit ba siya?,did he get sick,Nagsakit ba siya?
Galit ba siya sa akin?,Is he mad at me?,Nasuko ba siya kanako?
Nakalimutan na ba niya ako?,Has he forgotten me?,Nakalimtan na ba ko niya?
Nakakasiya sa amin ni ginto ni kadakilaan.,Neither gold nor greatness pleases us.,Nakalipay sa amo ni bulawan ang kamaayo kaayo.
"Dahil kung walang kudlit, ang punto ng Tagalog ay dapat alalahanin, katulad ng bigkas ng logogramang Hapon o Intsik.","Because if there is no apostrophe, the Tagalog point must be remembered, similar to the pronunciation of the Japanese or Chinese logogram.","Kay kon walay kudlit, ang punto sa tagalog kinahanglan bantayan, sama sa paglitok sa logogramang Hapon ug Intsik."
Mas gusto ng ibang Taga-Europa na may kudlit ang Tagalog dahil parang notasyon sa musika.,Other Europeans prefer Tagalog with an apostrophe because it sounds like musical notation.,Mas gusto sa laing taga- Europa nga adunay kudlik ang tagalog kay tungod murag walay nota ang ilang musika.
Gusto kong mag-alay sa sarili ko.,I want to dedicate myself.,Gusto ko maghalad sa akong kaugalingon.
Ang masyadong kaingatan sa panganib ay kalimitang hinuhulog tayo doon.,Being too wary of danger often gets us into it.,Ang sobra kaayo mag amping sa kuyaw kay kasagaran ginahulog ta didto.
"Alam niya ang Pranses, at mas naman ang Ingles.","He knows French, and even more English.","Kabalo siya sa Pranses, og mas kabalo siya sa Ingles."
Ipinagbibili ninyo ba ang pupitreng lampara dito?,Do you sell the white lamp here?,Ibaligya ba ninyo ang gamayng lampara dinhi?
Nagdedekorasyon si Maria ng kanyang paso.,Maria is decorating her burn.,Nagpadayan-dayan si Maria sa iyang kaang.
Di sila pumasok.,They did not enter.,Wala sila misulod.
Ang tukudlangit ay nakatindig nang mas mataas ng ibang gusali sa palibot.,The skyscraper stands taller than any other building around.,Ang monument kay nakatindog nga mas taas sa ubang dakbalay sa palibot.
"Bata bang lalaki, o babae?","Is it a boy, or a girl?","Bata ba nga lalaki, o babae?"
"Tungkol sa babae, walang alam ang lalaki.","About the woman, the man knows nothing.","Mahitungod sa babae, walay kalibutan ang mga lalaki."
Hinahalo ko ang mayones at ketsap.,I mix mayonnaise and ketchup.,Ginasagol nako ang mayones ug ketchup.
Nasaktan ang sundalo sa hita at di makakibo.,The soldier was injured in the thigh and could not move.,Nasakitan ang sundalo bagtak ug dili makatingog.
Tinago niya ang sekreto.,He kept the secret.,Gitago niya ang sekreto.
Sinumang nagtratrabaho para sa lahat ay nakakalimutan ang sarili.,He who works for all forgets himself.,Kinsa man ang nagtrabaho para sa tanan kay nakalimot na sa kaugalingon.
"Sampu, labing-isa, labing-dalawa, labing-tatlo, labing-apat, labing-lima, labing-anim, labing-pito, labing-walo, labing-siyam, dalawampu.","Ten, eleven, twelve, thirteen, fourteen, fifteen, sixteen, seventeen, eighteen, nineteen, twenty.","Napulo, napulog-usa, napulog-duha, napulog-tulo, napulog-upat, napulog-lima, napulog-onom, napulog-pito, napulog-walo, napulog-siyam, baynte."
Nakatira ako sa lungsod.,I live in the city.,Nagpuyo ko sa lungsod.
Bakit ka nagtatanong?,why are you asking,Ngano kang nangutana?
Gusto ko.,I like it.,Gusto nako.
Di kita iiwanan.,I will not leave you.,Dili ka nako biyaan.
Kumukulong mainit na ang tsa.,The tea is boiling hot.,Nagbukal sa kainit ang tsa.
Natagpo ko siya sa pagtigil ko sa Mehiko.,I met him when I stopped in Mexico.,Nahimamat nako siya sa paghunong nako sa Mehiko.
Buntis ako.,I'm pregnant,Buntis ko.
Mahal pa niya siya.,He still loves her.,Gihigugma pa niya siya.
Mas malaki at mas malakas ang tigre kaysa sa pusa.,A tiger is bigger and stronger than a cat.,Mas dako ug mas kusgan ang tigre kaysa iring.
Marumi ang mga daan.,The roads are dirty.,Hugaw ang mga agianan.
Ang esensiya ng libertad ay matematika.,The essence of freedom is mathematics.,Ang diwa sa kagawasan kay matematika.
Magtiwasay kung anuman ang mangyari.,Be safe no matter what happens.,Maghusay kung usa man ang mahitabo.
Di na ako naninigarilyo.,I don't smoke anymore.,Dili nako nagasigarilyo.
Mabuhay nang pabongga-bongga.,Live lavishly.,Mabuhi sa pagarbo-garbo.
Umupo siya sa kama.,He sat on the bed.,Nilingkod siya sa kama.
Party iyon.,It's a party.,Pundok kato.
Lumalagi ba siya?,Does he stay?,Nagapabilin ba siya?
Namamarati ba siya?,Does he feel lonely?,Nagpirmi bah siya?
Wala akong ginagawang sikreto sa iyo.,I'm not keeping anything secret from you.,Wala akoy gibuhat nga sikreto kanimo.
Marikit ba ang wik-end mo?,Did you have a nice weekend?,Maanyag bah ang wik-end mo?
Walang naniwala sa akin nung una.,No one believed me at first.,Walay nituo sa ako sa una.
Sinong gusto mong kausapin?,Who do you want to talk to?,Kinsa ang gusto nimong estoryahon?
Binigyan ang bawat isa ng pasalubong.,Everyone was given a welcome.,Gitagaan ang matag usa og gasa.
Nakatira ako sa Malta.,I live in Malta.,Nagpuyo ko Malta.
Puwede bang samahan kita?,can i join you,Mahimo bang ubanan ka nako?
Bakit hindi?,Why not?,Nganong dili?
Nagsisi siyang tamad siya.,He regretted that he was lazy.,Nagbasol siya nga tapolan siya.
Dapat ko bang ulitin?,Should I repeat?,Kinahanglan ba nakong usabon?
Dapat basta umalis na ako.,I should just leave.,Kinahanaglan basta muhawa na ako.
"Oo, paki' nga.","Yes, please.","Oo, palihog beh."
Mas marikit ito.,It's more beautiful.,Mas nindot kini.
Kilala mo ba siya?,do you know him,Kaila ba nimo siya?
Mabilis umibo ang mga ulap sa itaas.,The clouds are blowing quickly above.,Paspas mulihok ang mga panganod sa taas.
Nagtataka ako kung sino sila.,I wonder who they are.,Natingala ko kon kinsa sila.
Alas sais ako gumising nitong umaga.,I woke up at six this morning.,Alas sais nako nimata karong buntaga.
Kapwa silang naghahangaan.,They both admire.,Duha silang nanginahanglan.
Bihira akong makinig sa radyo.,I rarely listen to the radio.,Usahay ko maminaw sa radyo.
Bulok ang amoy nitong pagkain.,This food smells rotten.,Bugok ang baho sa kining pagkaon.
Umagos ang tubig sa pampang.,The water rushed to the shore.,Niagay-ay ang tubig sa pangpang.
Pumunta siya para iligtas ako.,He came to save me.,Niadto siya aron luwason ko.
Kilala ko siyang mabuti.,I know him well.,Nakaila ko sa iya nga maayo.
Dapat makita ko siya.,I must see him.,Kinahangalna makita nako siya.
Bakit ba?,Why?,Ngano gani?
May pusa sa kusina.,There is a cat in the kitchen.,Adunay iring sa kusina.
Konting estudyante ang may alam ng Latin.,Few students know Latin.,Minos ang estudyante nga adunay kahibalo sa Latin.
Paiyak na si Tomas.,Tomas started crying.,Muhilak na si Tomas.
Nilista ni Tomas ang mga lugar na gusto niyang bisitahin.,Tomas listed the places he wanted to visit.,Gilista ni Tomas ang mga lugar na gusto niya adtuan.
Di-kailanman natin maaalaman.,We will never know.,Nungka nato mahibaw-an.
Ano ang kasiyahan?,What is pleasure?,Unsa ang kalingawan?
Puwede ko bang irekomenda ang ibang otel?,May I recommend another hotel?,Mahimo ko bang irekomenda ang laing abtanan?
Kinausap ko ang mga kaibigan.,I talked to friends.,Giestorya na nako ang akong higala.
Baka magyelo sa susunod na linggo.,It might freeze next week.,Basin bungnaw ang mosunod nga semana.
