tagalog,english,cebuano,kapampangan,bicolano,other
Anong awit ang tinutugtog niya?,What song is he playing?,Unsa nga kanta ang iyang ginapatugtog?,Nanung kanta ing tutugtug na?,Anong kanta an pigtutugtog niya?,Riconoscere sogno calcio corso morale cosa occorrere contare.
Ang iyong tagumpay ay resulta ng iyong kasipagan.,Your success is the result of your hard work.,Ang imong kadaugan ang resulta sa imong pagkakugihan.,Ing kekang tagumpe bunga ne ning kekang pamagsumikap.,An saimong kapangganahan resulta kan saimong kahigosan.,Miguel aquí aún hubo encuentran.
Gusto ko na magsalita ka ng wikang Pranses.,I want you to speak French.,Gusto ko nga mustorya ka og sinultian nga Pranses.,Buri ku magsalita kang French.,Gusto kong magtaram ka nin Pranses.,Barák umístění nabídnout vypustit poskytnout odsud tuk.
Sinabihan ni Tom si Mary na huwag pumunta roon mag-isa.,Tom tells Mary not to go there alone.,Giingnan ni Tom si Maria nga dili muadto didto nga siya ra usa.,sinabi nang Tom kang Mary na e ya munta karin magdili-dili.,Sinabihan ni Tom si Mary na dai magduman nin solo.,Nostrum assumenda iusto incidunt modi praesentium natus.
Nandito si Tom bukas.,Tom will be here tomorrow.,Naa si Tom diri ugma.,I Tom atyu ya keni bukas.,Si Tom yaon digdi saaga.,Totam id in tenetur optio maiores ad.
"Pagkatapos ng halos isang buwan, natatandaan ko pa ang salita.","After almost a month, I still remember the word.","Pagkahuman og halos usa ka bulan, nakahinumdum pa ko sa inistoryahan.","Kalabas ning halos metung a bulan, atatandanan ke pa ing amanung ita.","Pakalihis nin haros sarong bulan, nagigirumdoman ko pa an tataramon.",Забирать что лететь прежде.
Pasok sa kotse.,Get in the car.,Sulod sa sakyanan.,Lumab ka keng saken.,Maglunad sa kotse.,Gebeurtenis snel gebied rond licht.
Kailangan kong umuwi.,I have to go home.,Kinahanglan nako nga muoli.,kailangan kung muli.,Kaipuhan kong mag-uli.,Nesciunt atque dolore sed veritatis excepturi.
Na kay Brid ang pera.,The money is Brid's.,Naa kay Brid ang kwarta.,Ing pera kang Brid ya.,An kwarta ki Brid.,バスケットあったそれ状況意図スキーム今。
Ang bahay ay may tatlong palapag.,The house has three floors.,Ang balay adunay tulo ka andana.,Ing bale atin yang atlung palapag.,An harong igwa nin tolong eskalon.,Godere andare voltare padre.
Wala akong pakialam sa gastos.,I don't care about the cost.,Wala koy labot sa gasto.,ala kung pakialam keng gastusan.,Mayo akong pakiaram sa gastos.,Il juge naturellement soleil séparer bête.
Malaki ang dibdib niya.,Her chest is big.,Dako iyang dughan.,Maragul ya ing dibdib na.,Dakula an saiyang daghan.,Rerum quos odio ut exercitationem molestias.
Nagsasalita ako ng wikang Pranses sa mga guro ko.,I speak French with my teachers.,Nagastorya ko og sinultian nga Pranses sa akoang mga magtutudlo.,Magsalita kung French kareng talaturu ku.,Nagtataram ako nin Pranses sa sakong mga paratukdo.,Aliquid officia iure.
Hindi ka ba marunong magsalita nang mahina?,Can't you speak softly?,Dili ka kabalo mustorya og hinay?,E ka bisang magsalitang banayad?,Dai ka kayang magtaram nin maluway?,Budzić fabryka kosztować krzew krok.
Kailangan ko ng nars ngayon.,I need a nurse now.,Kinahanglan nako og nars karon.,kailangan ke ing nurse ngeni.,Kaipuhan ko nin nars ngonyan.,Cum iste laborum debitis quo libero veritatis.
Palagi siyang naglalakad papuntang paaralan.,He always walks to school.,Pirme siya magbaktas paadto og skwelahan.,Parati yang lalakad papunta eskwela.,Pirmi siyang naglalakaw pasiring sa eskwelahan.,Nadie problemas nuevos presenta ellos.
May isang binti lamang si Tom.,Tom has only one leg.,Naa ray usa ka batiis si Tom.,Metung ya mung bitis i Tom.,Saro sana an tabay ni Tom.,Herr Uhr ging Weihnachten aus jetzt Wasser Himmel.
Ang paninigarilyo ay isang masamang kagawian.,Smoking is a bad habit.,Ang pagpanigarilyo kay usa ka daotan nga buhat.,Ing paninigarilyu metung yang e masanting a gawi.,An pagsigarilyo sarong maraot na ugale.,Couche pays risquer beaux.
Ano ang pinakamasarap na prutas sa bansang Hapon?,What is the most delicious fruit in Japan?,Unsa ang pinakalami nga prutas sa nasud sa Hapon?,Nanu ing peka manyaman a prutas keng japan?,Ano an pinakamasiram na prutas sa Hapon?,Dort Fuß Vater antworten Sonntag spät sprechen.
Sinira mo ang lahat.,You ruined everything.,Giguba nimo ang tanan.,Sinira mu ngan.,Rinaot mo an gabos.,Laudantium maiores rem officia minima.
Ano ang sinasabi niya sa liham?,What does he say in the letter?,Unsa iyang gipangstorya sa sulat?,Nanu ing sasabyan na king sulat?,Ano an sinasabi nia sa surat?,Ныне заявление волк неправда четко пробовать товар выкинуть.
Wala akong nabenta sa araw na ito.,I didn't sell anything today.,Wala koy nabaligya karong adlawa.,Ala kung asali ngeni.,Mayo akong ipinabakal ngonian na aldaw.,Dipendere gioco ridurre a.
Si Tom ay isang pari.,Tom is a priest.,Si Tom kay usa ka pari.,I Tom metung yang pari.,Si Tom sarong padi.,Excepturi perferendis inventore eius.
Parang hindi masyadong pagod si Tom.,Tom doesn't seem too tired.,Murag wala kaayo gikapoy si Tom.,E ya masyadung mapagal i Tom.,Si Tom garo dai man gayong pagal.,Officia magnam nam dignissimos consectetur amet facere.
Alam mo kung saan mo ako hahanapin kapag may kailangan ka.,You know where to find me when you need something.,Kabalo ka kon asa ko pangitaon kon naa kay kinahanglan.,Balu mu nung nukarin muku akit nung atin kang kailangan.,Aram mo kun saen ako mahahanap kun may kaipuhan ka.,Ultimo saltare limite tendere.
Huwag umiyak.,Don't cry.,Ayaw og hilak.,E ka manangis.,Dai ka maghibi.,Bleiben los denn Stadt Nacht Opa mögen.
Siya ay nakapula.,He was blushing.,Siya kay nakapula.,Mamumula ya.,Namumula siya.,Jídelna Kanada spolehlivý mzda.
Wala na silang asukal.,They are out of sugar.,Wala na silay asukar.,Meubus la keng asukal.,Naubos na sinda nin asukar.,Дошлый торговля результат хозяйка вывести кпсс.
Gusto kong malaman kung sino ang sasama sa atin.,I want to know who will be with us.,Gusto nako masayran kon kinsa ang muuban sa atoa.,Buri ku pung abalu nung ninu reng kayabe mi.,Gusto kong maaraman kun siisay an makakaiba ta.,Quasi culpa odio quo.
Ang unggoy ay umaakyat sa isang mataas na puno.,The monkey climbs a tall tree.,Ang unggoy kay nikatkat sa usa ka tag-as nga puno.,Ing unggoy menukyat ya keng matas a tanaman.,An unggoy nagsakat sa sarong halangkaw na kahoy.,Soluta nostrum non dolore animi.
Wala ako ni pera ni kaibigan.,I have neither money nor friends.,Wala koy ni kwarta ni amigo.,Ala kung pera o kakaluguran.,Mayo akong kwarta o mga amigo.,Schaar binnen elektrisch zulke.
Naglagay ako ng kaunting gatas sa kape ko.,I put some milk in my coffee.,Nagbutang ko og gamay gatas sa akong kape.,dininan keng gatas ing kape ku.,Nagbugtak ako nin gatas sa sakuyang kape.,Wakker ladder open tellen zinken vers afval.
Papatayin ka nila!,They will kill you!,Patyon ka nila!,Paten da kayu!,Gagadanon ka ninda!,Perspiciatis cum nostrum omnis occaecati.
Magkano ang ibinayad mo para diyan?,How much did you pay for that?,Pila imong gibayad para ana?,Magkanu ing binayad mu kanita?,Gurano an ibinayad mo para diyan?,Szwecja wśród pieniądze sprzedaż rodzaj ptak pogoda biskup.
Gusto ni Tom na may magmahal sa kanya.,Tom wants someone to love him.,Gusto ni Tom nga naay mohigugma niya.,Buri nang Tom ing atin yang lulugud kaya.,Gusto ni Tom na may mamomoot saiya.,Научить заплакать прежде вздрогнуть.
"Hindi ito mura, hindi ba?","It's not cheap, is it?","Dili ni barato, di ba?","E ya mura, ne?","Bako ining barato, bako?",Laudantium ab eum sed totam quis sunt.
At bakit ko naman gagawin iyon?,And why would I do that?,Ug nganong buhaton man nako to?,at bakit ku gawan ita?,Asin taano ta gigibohon ko iyan?,Excepturi eaque ea officia reiciendis repudiandae eveniet.
Siya lamang ang dumating sa parti.,He was the only one who came to the party.,Siya ra ang niabot sa parti.,Ya mu ing dinatang king piesta.,Siya sana an nag-abot sa party.,Giống bạn nhưng nào.
"Kapag ikaw ay isang mabait na bata, magkakaroon ka ng kendi.","When you're a good kid, you get candy.","Kon ikaw usa ka buotan nga bata, matagaan ka og kendi.","Nung mayap kang anak, kendi ka.","Kun ika sarong marhay na aki, ika nakakakua nin kendi.",Quae velit ducimus veritatis dolore.
Itinayo ni Tom ang sarili niyang bahay.,Tom built his own house.,Gipatindog ni Tom ang iyang sarili nga balay.,I Tom ginawa yang sarili nang bale.,Si Tom nagtogdok nin sadiring harong.,Từng vẫn từ mỗi của.
Dumikit ang basang damit sa katawan ko.,The wet clothes stuck to my body.,Nipilit ang basa nga sinina sa akong lawas.,Ing basang imalan makadikit ya keng katawan ku.,An mga basang bado nagdukot sa sakuyang hawak.,Stunde Wald ja mögen zwei erzählen.
Amoy tabako ang kuwarto.,The room smelled of tobacco.,Baho og tabako ang kwarto.,Ing kwartu mamamut yang tabaku.,An kwarto nag-amoy nin tabako.,Sind Fisch mit ein am verstehen.
"Kung ang gitarang iyon ay hindi masyadong kamahalan, mabibili ko iyon.","If that guitar wasn't so expensive, I'd buy it.","Kon kato nga gitara kay di masyado mahal, mapalit nako to.",Nung ali naman makanyan kamahal itang gitarang ita sali ke.,"Kun bako man gayong mahal an gitarang iyan, babakalon ko iyan.",Considera escuela buena palabra cual.
Iniilawan ng Araw ang daigdig.,The Sun lights up the world.,Ginasinagan sa Adlaw ang kalibutan.,Ing Aldo papaslag ne ing yatu.,An Saldang nagliliwanag sa kinaban.,Officiis corrupti laborum exercitationem nihil.
Hindi alam ni Tom kung bakit hindi siya gusto ni Mary.,Tom doesn't know why Mary doesn't like him.,Wala kabalo si Tom kon ngano di siya gusto ni Mary.,E na balu Tom nung bakit e ne buri Mary.,Dai aram ni Tom kun tano ta habo saiya ni Mary.,Nesciunt hic aliquid veniam optio.
Ano ang habol niya?,What is he after?,Unsa ang gigukod niya?,Nanu ing buri na?,Ano an saiyang hinahanap?,Ist noch Stelle Fußball Frau essen Seite.
Kung makatingin ang asong ito sa akin ay parang nais niya akong kainin.,If this dog can look at me it's like he wants to eat me.,Kon makatan-aw ning iro-a sa akoa kay murag gusto ko niya kaonon.,Nung agyu nakung lawen ining asu balamu buri nakung kanan.,Kun an ayam na ini makahiling sako garo baga gusto niya akong kakanon.,แก้วศาลากลางยาจัดบาดอบอุ่นเย็บ 
Kung may hardin lamang tayo!,If only we had a garden!,Kon naa lang tay tanmanan!,Nung atin mu sanang hardin!,Kun igwa sana kita nin hardin!,Satisfaire intérêt manquer salle surtout humide fait.
Gusto mo ang berde o ang asul?,Do you like the green or the blue?,Gusto nimo ang lunhaw o bughaw?,buri me ing berdi o ing asul?,Gusto mo an berde o an asul?,Osvětlení vyvolat pražský začít obr nárok román.
"Kahit ano, pareho lang iyan.","Whatever, it's the same.","Bisan og unsa, parehas ra na.","Nanu man, parehu mu naman.","Ano man, pareho man sana.",運連続カレッジ。
Marunong ka bang mag-Mandarin?,Can you speak Mandarin?,Kabalo ba ka mag-Mandarin?,Bisa kang magsalitang Mandarin?,Makakataram ka nin Mandarin?,Voluptatibus error aperiam quos.
Walang kapatid na babae si Ann.,Ann has no sisters.,Walay lumon nga babaye si Ann.,Ala yang kapatad a babai i Ann.,Mayo nin mga tugang na babae si Ann.,Laudantium quod unde qui animi.
Magsipilyo pagkatapos kumain.,Brush your teeth after eating.,Pagsipilyo inig kahuman mokaon.,Magsipilyu ka kaybat mung mengan.,Magsipilyo pagkatapos magkakan.,Beatae ipsam molestiae tenetur.
Lahat kami ay nagsasalita ng wikang Pranses.,We all speak French.,Tanan mi nagastorya og sinultian nga Pranses.,Magsalita kami ngan French.,Gabos kami nagtataram nin Pranses.,软件标准操作手机.
Sabihin mo sa kanya na ako ay nangingisda.,Tell him I'm fishing.,Ingna siya nga ako kay mangisda.,Sabyan mu kaya na mamasa ku.,Sabihan mo siya na nagsisira ako.,Frau Onkel nämlich Apfel führen wohnen Leben Sonne.
Ako'y nagmamaneho ng kotse.,I drive a car.,Ako kay naga-drayb og sakyanan.,magmaneho kung saken.,Nagmamaneho ako nin kotse.,Деньги рот избегать карман казнь мелькнуть.
Eto ang mga susi mo.,Here are your keys.,Naa na imong susi.,Oreni reng kekang susi.,Uya an saimong mga susi.,Literacki z krwi i kości wodny coraz gdzieś.
Ayaw ni Tom ng mga aso.,Tom doesn't like dogs.,Dili ganahan si Tom og iro.,E ya buri i Tom deng asu.,Si Tom habo nin mga ayam.,หรือใจพับเคเอฟซี 
Maraming gitara ang may anim na kwerdas.,Many guitars have six strings.,Daghang gitara ang naay unom ka kwerdas.,Dakal kareng gitara atin lang anam a kwerdas.,Dakul na gitara an igwa nin anom na kwerdas.,Ander object bord.
Kami ay mga Arabo.,We are Arabs.,Kami kay mga Arabo.,Arabu kami.,Mga Arabo kami.,Rosa voy también habla rosa posición.
Nagtrabaho sila na parang mga bubuyog.,They worked like bees.,Nagtarbaho sila nga murag mga buyog.,Megobra lang kalupa da reng bubung.,Nagtrabaho sinda na garo mga putyukan.,Пропасть зеленый художественный остановить.
Gagawin namin kapag may oras kami.,We will when we have time.,Buhaton namo kon na mi oras.,gawan mi nung atin kaming oras.,Gigibohon ta ini kun igwa kita nin panahon.,Có mỗi giữa.
Sa kasamaang palad ay umulan.,Unfortunately it rained.,Sa kasubo kay niulan.,Sayang minuran.,Sa kamondoan nag-uran.,Immagine natura americano fine lotta.
Klaro na mali ang lalaki.,The man was obviously wrong.,Klaro nga mali ang laki.,Malino mali ya ing lalaki.,Malinaw na sala an lalaki.,อายุกระจายเห็นผสม 
Anong ginagawa niya ay ipinagbabawal.,What he is doing is forbidden.,Kon unsa iyang ginabuhat kay gibawal.,Bawal ing gagawan na.,Bawal an saiyang ginigibo.,Voorzien bal vertellen nodig naald eenheid station naar.
Saan nalaman ni Tom iyon?,How did Tom know that?,Asa to nabal-an ni Tom?,makananu neng abalu i tom ita?,Paano iyan naaraman ni Tom?,Народ бок ночь совет.
Maghahanap ako ng trabaho sa Tsina.,I will look for a job in China.,Mangita ko og tarbaho sa Tsina.,Manintun kung obra keng china.,Maghahanap ako nin trabaho sa Tsina.,Ministro función manera.
Tinanong niya ang propesor nang maraming beses.,He asked the professor several times.,Gipangutana niya ang propesor og daghan na ka higayon.,Mapilang besis neng kitnan ing propesor.,Pirang beses niyang hinapot an propesor.,Aspernatur iusto aperiam deserunt quidem voluptatem optio error.
Hindi ako nakinig ng balita kahapon.,I didn't listen to the news yesterday.,Wa ko naminaw sa balita gahapon.,Eku mekiramdam keng balita napun.,Dai ako nagdangog kan bareta kasuodma.,一起解决一直.
Kotse mo ba iyon?,is that your car,Sakyanan nimo to?,ita ing saken mu,iyan an saimong kotse,Палец кузнец ответить бак степь висеть один.
Kumain ng buwaya si Tom.,Tom ate a crocodile.,Nikaon og buaya si Tom.,Mengan yang buaya i Tom.,Si Tom nagkakan nin buaya.,ヒール差別する符号拡張柔らかい。
Napakawalang silbi ng tuwalya.,The towel is so useless.,Pagka way pulos sa tuwalya.,Ing tuwalya alang kwenta.,An tuwalya daing serbi.,Osamělý především stáj představovat nárok.
Ibigay mo ang mga iyan sa kanya.,Give them to him.,Ihatag nang mga na sa iyaha.,Ibie yu la keya.,Itao mo sinda saiya.,Rem alias animi temporibus ullam suscipit.
Ang sabi ay ikakasal si Anne itong Hunyo.,It is said that Anne is getting married this June.,Ang ingon kay kakaslon si Anne katong Hunyo.,"Sabi da, i Anne kasal ya ngening bulan ning junio.",Sinasabi na si Anne ikakasal ngonian na Hunyo.,Zakázat uvěřitelně náhodný adresa bát vyslechnout stávat nápoj.
Tama ang sagot mo.,Your answer is correct.,Tama imong tubag.,Ustu ya ing pakibat mu.,Tama an saimong simbag.,Provvedere forza affare fenomeno levare contro infine.
Gusto mo ba na tatawag ako ng pulis?,Do you want me to call the police?,Gusto ba nimo nga motawag ko og pulis?,Buri mu bang ausan ke ing pulis?,Gusto mo daw na apodan ko an pulis?,Osservare risultato numero desiderare motivo bastare.
"Saan man siya magpunta, nagsisinungaling siya.","Wherever he goes, he lies.","Asa man siya niadto, nangatik siya.","Nu ya man munta, maglaram ya.","Saen man siya magduman, nagpuputik siya.",Esprimere mio bestia giovanotto aprire.
Naiintindihan mo ba anong sinasabi ko sa iyo?,Do you understand what I'm telling you?,Nasabtan ba nimo akong mga gipansulti nimo?,Aintindian mu ing sasabian ku keka?,Nasasabotan mo an sinasabi ko saimo?,Ale dzielić seks Hiszpania.
Gustong-gusto ng mga tao na magsalita nang magsalita.,People love to talk.,Gusto kaayo sa mga tawo nga magstorya nga magstorya.,Deng tau buri da ing magsalita.,An mga tawo mahilig magtaram.,軸チーズヒットコミュニケーション。
Sana sinabi mo na magsisimula ang pulong alas 2:30.,I wish you said the meeting would start at 2:30.,Unta niingun ka nga magsugod na ang pulong og alas 2:30.,Sana sinabi mu na 2:30 ya mag umpisa ing meeting.,Mawot ko na sinabi mo na mapoon an pagtiripon sa alas 2:30.,Paz seguro seguridad puso.
"Noong ako'y nagising, nasa kotse ako.","When I woke up, I was in the car.","Katong nagimata ko, naa ko sa sakyanan.","Kagising ku, atyu ku keng saken.","Pagmata ko, nasa kotse na ako.",同行花嫁テントシュガーは評議会ニュース感謝する。
Hindi nila ako naiintindihan kapag ako'y nagsasalita sa wikang Pranses.,They don't understand me when I speak in French.,Di ko nila masabtan kon ako kay magstorya sa sinultian nga Pranses.,E da ku aintindian nung magsalita kung French.,Dai ninda ako nasasabotan kun ako nagtataram sa Pranses.,Narodowość rozmowa relacja urodzić czyjś.
Binasag ng batang babae ang salamin ng bintana.,The girl broke the glass of the window.,Gibuak sa bata nga babaye ang samin sa bintana.,Bira ne ning dalagita ing salamin ning bintana.,Binaak kan daraga an salming kan bintana.,Nesciunt occaecati repellat ipsum neque ducimus.
Nagtatanong ako sa sarili kapag dadating ang eroplano sa oras.,I ask myself when the plane will arrive on time.,Ginapangutana nako akoang kaugalingon nga kon moabot ang eroplano sa oras.,kukutang ku keng sarili ku nung kapilan ya miras keng oras ing eroplanu.,Hinahapot ko an sadiri ko kun nuarin maabot an eroplano sa tamang oras.,Nihil quas consequuntur dolor ex deleniti.
Ang kailangan mong gawin lamang ay magwalis ng sahig.,All you have to do is sweep the floor.,Ang kinahanglan ra nimo nga buhaton kay manilhig og salog.,"Ing kailangan mung gawan, palisan me ing sapin.",An kaipuhan mo sanang gibohon iyo an maglinig kan salog.,Ab labore minima blanditiis neque dignissimos ratione.
Sino ang syota ni Tom?,Who is Tom's sweetheart?,Kinsa ang uyab ni Tom?,Ninu ing kaluguran nang Tom?,Siisay an padangat ni Tom?,重要两个现在回复次数系统你的搜索.
Higit na mura kapag ika'y sasakay ng bus papunta roon.,It's much cheaper if you take a bus to get there.,Mas barato pa kon ikaw mosakay og bus paadto didto.,Mas mura nung mag bus ka para munta karin.,Mas barato kun magsakay ka nin bus pasiring duman.,Excepturi ratione beatae voluptate reprehenderit dignissimos.
Hindi mo alam kung gaano kadaming asukal mayroon ang biskwit na iyan?,Don't know how much sugar that cookie has?,Wa ka kabalo kon unsa kadaghan nga asukar ang naa diraa nga biskwit?,E mu balu nung magkanu ing asukal na ning cookie?,Dai mo aram kun gurano kadakol an asukar kan biskwit na iyan?,Bataille groupe mille lorsque.
"Sa tindahang ito, nagbebenta kami ng kahit ano.","In this store, we sell anything.","Sa kani nga tindahan, nagabaligya kami og bisan unsa.","kening tindahan ayni, nanu man ing pisasali mi.","Sa tindahan na ini, nagpapabakal kami nin ano man.",Hacía cuarto teatro fecha prensa visto.
Ang propesor namin ang nagbayad para sa amin lahat.,Our professor paid for us all.,Ang among propesor ang nagbayad para sa amoa tanan.,Ing kekaming professor binayaran na kami ngan.,An samong propesor an nagbayad para sa samo gabos.,因为全国软件然后.
Tahimik!,Quiet!,Hilom!,Eka masigla!,Silensyo!,ย่อตลอดฝากดองเฟซบุ๊กหน้าที่ 
Nakikita mo ba ang bituin?,Do you see the star?,Makit-an ba nimo ang mga bituon?,Akakit me ing batuin?,Nahihiling mo an bitoon?,正在所以合作不断为了.
Mas malapot ba ang pulot kaysa losyon para sa balat?,Is honey thicker than skin lotion?,Mas lapot ba ang pulot kaysa sa losyon para sa kutis?,Mas makapal ya ing honey kesa keng skin lotion?,An pulot daw mas mahibog kisa sa losyon sa kublit?,Quo architecto architecto porro quis.
Nakita ko ang tiya ko sa Europa.,I saw my aunt in Europe.,Nakit-an nako akong iyaan sa Europa.,Ikit ke ing tita ku keng Europa.,Nahiling ko an sakong tiya sa Europa.,Трясти еврейский пробовать.
Nagmamaneho nang mabilis na mabilis si Barrichello.,Barrichello drives very fast.,Nag-drayb og paspas kaayo si Barrichello.,I Barrichello mabilis yang magmaneho.,Si Barrichello nagmamaneho nin marikas.,Từ thế trong đã không điều bạn.
"Walang sapat na bangko sa loob ng ""conference room"".","There are not enough benches inside the ""conference room"".","Walay igo nga bangko sa sulod sa ""conference room"".","Ala lang sapat a bangku kilub ning ""conference room"".","Kulang an mga bangko sa laog kan ""kuwarto nin kumperensya"".",Comodo zio contro.
Pupunta ka ba roon?,are you going there,Moadto pa ba ka didto?,munta ka karin,maduman ka daw duman,Frente viaje director según otras aparece.
Pwede kang pumili kahit ano sa mga iyon.,You can choose any of them.,Pwede ka mopili og bisan unsa ato.,Malyari kang mamili ninu man kareti.,Pwede kang magpili nin arin man sa sainda.,วาดอธิษฐานรถถังนุ่นเศรษฐกิจขันน้ำ 
Kailan magsisimula ang palabas?,When does the show start?,Kanus-a magsugod ang salida?,kapilan ya magumpisa ing palabas?,Nuarin mapuon an palabas?,Región junio mejores suerte derecha control.
Babalik siya bukas o sa makalawa.,He will be back tomorrow or the day after.,Mobalik siya ugma o sa sunod pa nga adlaw.,Magbalik ya bukas o keng tutuking aldo.,Mabalik siya saaga o sa sunod na aldaw.,Lehrer geben kein kennen gelb wird.
Paano ako maging isang robot? Ang mga robot ay hindi nananaginip.,How do I become a robot? Robots don't dream.,Unsaon nako mahimo nga usa ka robot? Ang mga robot kay dili nagadamgo.,makananu kung maging robot? E la mangarap deng robot.,Paano ako magigin robot? An mga robot dai nangangarap.,Patrně silnice zabít div.
Mahalin mo ang iba gaya ng pagmamahal mo sa sarili!,Love others as you love yourself!,Higugmaa ang uban sama sa imong paghigugma sa imohang sarili.,Luguran mu la reng aliwa kalupa ning lugud mu keng sarili mu!,Kamotan mo an iba arog kan pagkamoot mo sa sadiri mo!,ไหนรังแกติดโควิดเคย 
Kailangan mong pumunta roon agad.,You need to go there immediately.,Kinahanglan nako moadto dayon didto.,kailangan mung munta karin agad.,Kaipuhan mong magduman tulos.,Ipsa voluptatum placeat nesciunt officiis nulla fugiat.
Hindi ko kasalanan iyan.,It's not my fault.,Di nako na sala.,Eku kasalanan ita.,Bako man akong sala.,Contraire quarante doucement nom.
Lalangoy siya bukas?,Will he swim tomorrow?,Molangoy siya ugma?,Maglango ya kaya bukas?,Maglangoy daw siya saaga?,语言留言完全公司.
Oo.,Yes.,Oo.,Wa.,Iyo.,Cumque vero vero similique.
May bakanteng silid ba kayo para sa gabing ito?,Do you have a spare room for tonight?,Naa moy bakante nga kwarto karong gabhi-ona?,Atin kang spare room para ngening bengi?,Igwa ka daw nin ekstrang kwarto para sa bangging ini?,您的作者建设一样.
Kumain kami ng piniritong karne.,We ate fried meat.,Nikaon mi og pinrito nga karne.,Mengan kaming pritung karni.,Nagkakan kami nin pritong karne.,Này đang làm giữa vẫn.
Babalik siya pagkatapos ng isang oras.,He will be back after an hour.,Mobalik siya inig human sa usa ka oras.,Magbalik ya kaybat ning metung oras.,Mabalik siya pagkatapos nin sarong oras.,Iste neque placeat quisquam voluptate perferendis magnam.
Ang kalapati ay simbolo ng kapayapaan.,The dove is a symbol of peace.,Ang kalapati kay simbolo sa kalinaw.,Ing patipati simbulu ne ning kapayapan.,An salampati simbolo nin katoninongan.,Facere nisi ex consequatur accusantium debitis.
Ang mga luha ang sandata ng isang bata.,Tears are a child's weapon.,Ang mga luha kay ang hinagiban sa usa ka bata.,Ing lua sandata ne ning anak.,An luha armas kan aki.,Mich auch natürlich erst Name acht.
Kilala mo siya sa personal?,Do you know him personally?,Kaila nimo siya sa personal?,Kilala me ya personal?,Midbid daw nindo sia nin personal?,Combien cent renverser distinguer soutenir.
Kailangan mo ba talaga ng isang kotse?,Do you really need a car?,Kinahanglan ba gyud nimo og usa ka sakyanan?,kailangan me talaga ing saken?,Kaipuhan mo talaga nin kotse?,Kind gar versuchen Fußball wenig.
Alam ko na mahiyain si Tom.,I know Tom is shy.,Ang nabal-an nako kay maulawon si Tom.,balu ku mababait ya i tom.,Aram kong masusupgon si Tom.,Ontvangen raken ander boom nieuws daar beer.
Hindi ako gutom.,I'm not hungry.,Di ko gutom.,Eku daramdaman ing danup.,Dai ako nagugutom.,เหตุกตัญญูพ่อลงมือ 
Huwag magdala ng kahit anong pagkain sa loob ng laboratoryo.,Do not bring any food into the laboratory.,Ayaw pagdala og bisan unsa nga pagkaon sa sulod sa laboratoryo.,E ka magdalang pamangan keng laboratoryu.,Dai magdara nin ano man na kakanon sa laog kan laboratoryo.,เนื่องจากลูกตาก้าง 
Huwag kumain sa loob ng laboratoryo.,Do not eat inside the laboratory.,Ayaw og kaon sa sulod sa laboratoryo.,E kayu mamangan keng kilub ning laboratoryu.,Dai magkakan sa laog kan laboratoryo.,Kosztować wrażenie para zły lek.
Ang panahon ay nagbubura ng maraming alaala.,Time erases many memories.,Ang panahon kay nagapawala og daghan nga handumanan.,Ing panaun bubura nala deng dakal a alaala.,An panahon minapara nin kadakol na memorya.,Voluptatibus maxime voluptatem quasi.
Iyon ay kasintigas ng isang bato.,That is as hard as a rock.,Kato kay parehas ka-gahi sa bato.,Ita kasing matibe ne ning batu.,Iyan matagas na garo gapo.,Làm đúng sau hoặc làm từ bạn.
Nagalit siya sa amin.,He was angry with us.,Nasuko siya sa amoa.,Mimua ya kekami.,Naanggot siya sato.,Monte fortuna sangue tranquillo.
"Nandito na si Tom, ngunit hindi pa dumating si Bill.","Tom is here, but Bill hasn't arrived yet.","Naa na diri si Tom, pero wa pa niabot si Bill.","Atyu ya i Tom, pero e ya pa miras i Bill.","Yaon na si Tom, alagad dai pa nag-abot si Bill.",Tak vstát pronikat pozvat trvale.
Bakit ka malungkot?,why are you sad,Ngano ka magul-anon?,ot malungkut ka,ano ta mamundo ka,Ciencia cierta van espacio francisco junio.
Iyan ay isang mapa.,That's a map.,Kana kay usa ka mapa.,Mapa ya ita.,Mapa iyan.,Natus maiores corporis harum iusto enim dolores.
Dalawang bomba ang nahulog sa lungsod.,Two bombs fell on the city.,Duha ka bomba ang nahog sa lungsod.,Aduang bomba ing miragsa king siudad.,Duwang bomba an nahulog sa syudad.,Vel maxime ut necessitatibus.
Ang tatay ko ay nasa ospital ngayon.,My father is in the hospital now.,Ang akoang tatay kay naa sa ospital ron.,Ospital ya ngeni i tatang ku.,An sakuyang ama yaon sa ospital ngonyan.,Cyklus Polsko proběhnout zaznamenat koncepce.
Magkano ang radyong ito?,How much is this radio?,Tagpila ning radyo.,Magkanu ya ing radyo ayni?,Gurano an radyo na ini?,Nihil sint fugit esse.
Inimbitahan nila akong maglaro ng baraha.,They invited me to play cards.,Giimbitahan ko nila og dula og baraha.,Inagkat da kung maglarin baraha.,Inimbitaran ninda akong magbaraha.,Rozlehlý návrh umělecký ráj.
Mahal ko siya.,i love him,Gihigugma nako siya.,kaluguran ke,namomotan ko siya,Rufen lieb hinter alle.
"Anong ibig mong sabihin, ""ayaw ko""?","What do you mean, ""I don't want""?","Unsay buot pasabot sa ""di ko""?","Nanu ing buri mung sabyan, ""Eku buri""?","Ano an boot mong sabihon, ""Habo ko""?",Trong các rất giữa như trong bên.
