tagalog,english,cebuano
Magkakaroon tayo ng panayam ngayong tanghali.,We will have an interview this afternoon.,Aduna kita'y interbyu karong udto.
Unang beses kong magbeyk ng keyk.,It's my first time to bake a cake.,Kini ang akong unang higayon nga magbeyk og keyk.
Sinabi ni Tom kay Mary na puwede siya bukas.,Tom tells Mary that he can come tomorrow.,Giingon ni Tom kay Mary nga puwede siya ugma.
Anong tawag sa hayop na ito sa Hapon?,What is this animal called in Japan?,Unsa ang tawag sa hayop niini sa Hapon?
"Pagka tumila na ang ulan, maglalakad tayo.","When the rain stops, we will walk.","Kung mohunong ang ulan, maglakaw na kita."
Kailan inintrodyus ang patatas sa Hapon?,When was the potato introduced to Japan?,Kanus-a gipaila ang patatas sa Hapon?
Bakit ayaw mong subukan itong dilaw na sweater?,Why not try this yellow sweater?,Ngano nga dili nimo sulayan kini nga sweater nga dalag?
Mabuti pang humingi ka ng payo sa doktor.,It is better to ask a doctor for advice.,Labing maayo nga mangayo ka og tambag sa doktor.
Dapat iadyast mo ang klak. Huli siya.,You must adjust the clutch. He is late.,Kinahanglan nimo nga ayohon ang orasan. Ulahi siya.
Wala ka nang hahanapin pa habang nabubuhay ako.,You will find nothing more as long as I live.,Wala na kay laing pangitaon samtang buhi pa ko.
May mamang nagtanong sa akin ang papunta sa paaralan.,Someone asked me on the way to school.,Adunay lalake nga nangutana sa akoa kung asa ang paadto sa eskwelahan.
"Bagamat matalino man siya, di siya wais.","Although he is smart, he is not wise.","Bisan og maalam siya, dili siya wais."
OK lang ba sayo'ng tulungan ako sa trabahong iyon?,Is it OK with you to help me with that job?,OK ra ba sa imo nga tabangan ko nimo sa kadto nga trabaho?
Halos 200 milyon na tao na sa Brazil.,Almost 200 million people in Brazil.,Dul-an sa 200 milyon nga mga tawo ang naa na sa Brazil.
Sinauli mo na ba ang aklat sa aklatan?,Have you returned the book to the library?,Gibalik na ba nimo ang libro sa librarya?
Huwag mo kalimutang magdala ng payong.,Don't forget to bring an umbrella.,Ayaw kalimti ang pagdala sa payong.
Wala ka bang mas maliit kaysa sa rito?,Don't you have anything smaller than this?,Wala ba kay mas gamay niini?
"Kung umulan man, maglalaro.","If it rains, we will play.","Kung moulan man, magdula."
Tinapos niya ang buhay niya nang tumalon sa tulay.,He ended his life by jumping off a bridge.,Gihuman niya ang iyang kinabuhi pinaagi sa paglukso sa tulay.
Hindi maganda ang reputasyon niya sa mga estudyante niya.,He does not have a good reputation among his students.,Dili nindot ang reputasyon niya sa iyang mga estudyante.
Doktor siya at propesor sa unibersidad.,He is a doctor and university professor.,Doktor siya ug propesor sa unibersidad.
Dinala niya ako sa isla nang bangka niya.,He took me to the island in his boat.,Gidala ko niya sa isla sakay sa iyang bangka.
Lagi na lang siyang humihiram ng pera sa akin.,He always borrows money from me.,Kanunay na lang siya manghulam og kwarta sa akoa.
Hindi ko alam na galing pala sa binhi ang puno ng mansanas.,I didn't know that apple trees come from seeds.,Wala ko kabalo nga gikan diay sa binhi ang puno sa mansanas.
Di ko isip sa isang saglit na mali ka.,I don't think for a moment that you are wrong.,Wala ko naghunahuna kadiyot nga sayop ka.
Di ko alam kung kailan siya bumalik galing sa Pransiya.,I don't know when he came back from France.,Wala ko kabalo kung kanus-a siya mibalik gikan sa Pransiya.
Tinapos ko nang basahin itong aklat.,I finished reading this book.,Gihuman nako og basa kining libro.
Meron akong kalahating karaming librong meron siya.,I have half as many books as he has.,Aduna koy tunga sa kadaghan sa libro nga naa siya.
Hindi ko sasagutin ang ganyan katangang tanong.,I will not answer such a stupid question.,Dili nako tubagon ingon nianang katanga nga pangutana.
Naglalaro kami ng tennis kapag Linggo noon.,We used to play tennis on Sundays.,Nagadula kami og tennis kung Domingo kaniadto.
Sana may aircon ang silid namin.,I wish our room had air conditioning.,Unta naay erkon ang among kwarto.
Ikuha mo kaya ako ng isa pang serbesa.,Can you get me another beer?,Kung kuhaan kaya ko nimo og usa pa ka ilimnon?
"Kung hindi siya pagod, aalis sana siya.","If he wasn't tired, he would have left.","Kung wala siya gikapoy, mohawa unta siya."
"Kung gusto mong tulungan ko si Tom, tutulungan ko siya.","If you want me to help Tom, I will.","Kung gusto nimo nga tabangan nako si Tom, tabangan nako siya."
Sinasabi na artista ang babaeng iyon.,That girl is said to be an actress.,Kana nga babaye giingon nga artista.
Linggo ngayon.,today is sunday,Dominggo karon.
Hindi pwedeng nasa skwelahan sya.,He can't be at school.,Dili pwede nga naa siya sa eskwelahan.
Limang taon na ang lumipas nang huli kitang makita.,It's been five years since I last saw you.,Lima ka-tuig na ang milabay sukad sa ulahi tikang nakit-an.
Limang taon na mula nung huli kitang makita.,It's been five years since I last saw you.,Lima ka-tuig na sukad sa ulahi tikang nakit-an.
"Di sa kung anong sinasabi, kundi kung paano.","Not in what is said, but how.","Dili sa kung unsa ang ginasulti, apan kung ginaunsa."
Oras nang nabigyan ka ng dosis ng gamot mo.,Time when you were given a dose of your medicine.,Oras na aron hatagan ka sa dosis sa imong tambal.
Nag-uumpisang mamulaklak sa tagsibol.,Begins to bloom in spring.,Nagsugod sa pagpamulak sa tingpamulak.
Bumili si nanay ng dalawang bote ng orange juice.,Mom bought two bottles of orange juice.,Nagpalit si mama og duha ka botelya nga orange juice.
Piniraso ng nanay nang walo ang keyk.,Mom cut the cake into eight slices.,Gihiwa sa inahan ang keyk sa walo ka piraso.
Mangingibang-bansa ang tatay ko sa susunod na linggo.,My father is going abroad next week.,Moadto og laing nasud ang akong amahan sa sunod semana.
Binigyan ako ng lolo ko ng regalo sa aking kaarawan.,My grandfather gave me a present on my birthday.,Gihatagan ko ni lolo og regalo para sa akong adlaw nga natawhan.
Walang estudyanteng nahuli para sa eskuwela.,No student was late for school.,Walay estudyante nga naulahi alang sa eskwela.
Nagtanong siya tungkol sa kinaroroonan ng bahay.,He asked about the location of the house.,Nangutana siya bahin sa kung diin ang balay.
Binabasa niya ang isang kuwentong nakakatuwa sa mga bata.,He reads a story that amuses the children.,Ginabasa niya ang istorya nga makalingaw sa mga bata.
Mahal siya ng lahat sa nayon.,Everyone in the village loves him.,Ginahigugma siya sa tanan sa nayon.
Ang Thai ay wikang opisyal ng Thailand.,Thai is the official language of Thailand.,Ang Thai usa ka opisyal nga wika sa Thailand.
Sarado ang erport dahil sa ulap na hamog.,The airport is closed due to fog.,Sirado ang erport tungod sa mapanganuron nga hamog.
Sumugod ang mga bumbero sa nasusunog na bahay.,Firefighters rushed to the burning house.,Nisugod ang mga bumbero sa mga nasunog nga balay.
Sumigaw 'yung babae nang makakita siya ng apoy.,The woman screamed when she saw fire.,Nisyagit ang babae sa pagkakita niya sa kalayo.
Nakuha ng mago ang atensiyon ng mga bata.,The magician got the children's attention.,Nakuha sa mago ang atensiyon sa mga bata.
Ang buong experimento ay naitala sa pelikula.,The entire experiment was recorded on film.,Ang tibuok eksperimento kay nalista sa salida.
Daan-daan ang mga kotse sa kalye.,There are hundreds of cars on the street.,Libo-libo ang mga kotse sa kalsada.
May diperensiya itong makina.,This machine has a defect.,Adunay diperensiya kining makina.
Hindi nagkasundo sina Tom at Mary.,Tom and Mary did not get along.,Wala nagkasinabot sila Tom ug Mary.
Hindi alam ni Tomas kung anong hinahanap ni Maria.,Tomas does not know what Maria is looking for.,Wala kabalo si Tomas kung unsa ang ginapangita ni Maria.
Hinila ni Tom si Mary para hindi ito malaglag.,Tom pulled Mary so she wouldn't fall.,Gibira ni Tom si Mary aron dili kini mahulog.
Kung anuman ang mangyayari ay hula ng sinuman.,What will happen is anyone's guess.,"Kung unsa man ang mahitabo, hula sa bisan kinsa."
Maraming bagay ang pwedeng magawa mula sa kahoy.,Many things can be made from wood.,Daghang butang ang pwede nga mahimo sa kahoy.
"Puwede kang pumunta, pero basta maaga kang umuwi.","You can go, but as long as you come home early.","Pwede ka nga moadto, apan basta nga sayo kang mouli."
Tinanong ako ng isang dayuhan kung nasaan ang estasyon.,A foreigner asked me where the station was.,Gipangutana ko sa usa ka langyaw kung asa ang estasyon.
"Pagkatapos ng mainit na panahon, naging malamig.","After the hot weather, it became cold.","Pagkahuman sa init nga panahon, nahimong tugnaw."
Lahat ng kasapi ng club ay sumang-ayon sa akin.,All club members agreed with me.,Tanan nga kasapi sa club niuyon sa akoa.
Tungkol sa mga bituwin at planeta ang astronomiya.,Astronomy is about the stars and planets.,Bahin sa mga bituon ang ug planeta ang astronomiya.
Pakiulit nga ang kasasabi mo?,Please repeat what you just said?,Pakiusab gani sa imong gisulti?
Bawat salita sa diksiyunaryong ito'y importante.,Every word in this dictionary is important.,Kada pulong niining diksyunaryo importante.
May masamang habit siyang ngumuya sa kanyang lapis.,He has a bad habit of chewing on his pencil.,Aduna siyay dili maayo nga batasan sa pag-usap sa iyang lapis.
"Matangkad siya, pero lalong mas matangkad ang kapatid niyang lalaki.","He is tall, but his brother is even taller.","Taas siya, apan mas taas pa ang iyang igsoon nga lalaki."
Kabisado niya ang bansang Alemanya.,He mastered the country of Germany.,Kabisado niya ang nasud nga Alemanya.
Nakatira siya sa pook ng eskuwela.,He lives near the school.,Nagpuyo siya sa nataran sa eskwelahan.
Nag-aral siya nang mabuti para maging dalub-agham.,He studied hard to become a scientist.,Nagtuon siya pag-ayo aron mahimo nga usa ka syentista.
"Para maging dalub-agham, nag-aral siya nang mabuti.","To become a scientist, he studied hard.","Aron mahimo og syentista, nagtuon siya og maayo."
Gaano pa katagal ang bagyo?,How long will the storm last?,Hangtod kanus-a molungtad ang bagyo?
Sumusulat ako sa inyo para ipaalam na hindi ako nakontento.,I am writing to you to let you know that I am not satisfied.,Nagasulat ko sa inyo aron ipahibalo nga wala ko natagbaw.
Hindi ko alam kung magkano yang dalawan bike na yan.,I don't know how much those two bikes cost.,Wala ko kabalo kung tagpila nang duha ka bike.
Nanananghalian ako dito dalawa o tatlong beses sa isang linggo.,I have lunch here two or three times a week.,Nagapaniudto ko dinhi duha o tulo ka higayon sa usa ka semana.
Naubusan ako ng pera noong nagtagal ako sa India.,I ran out of money during my time in India.,Nahutdan ko og kwarta kaniadtong nagdugay ko sa India.
Alaala ko talaga ang araw na pinanganak ka.,I really remember the day you were born.,Kahinumdom gyud ko sa adlaw nga ikaw natawo.
Buong araw ay naglinis ako ng kuwarto.,I cleaned the room all day.,Tibuok adlaw ko nga nanglimpyo sa kwarto.
Binasa ko muli ang mga sulat mong pinadala sa akin.,I re-read the letters you sent me.,Gibasa nako og usab ang mga sulat nga gipadala nimo kanako.
Pupunta ako sa sine kung may oras ako.,I go to the cinema if I have time.,Moadto ko sa sine kung aduna koy oras.
"Kung ako sa'yo, ilalagay ko ang pera sa banko.","If I were you, I would put the money in the bank.","Kung ako sa imo, ibutang nako ang kwarta sa bangko."
Ang pusa ba'y nasa ibabaw ng silya o sa ilalim ng silya?,Is the cat on top of the chair or under the chair?,Naa ba ang iring sa ibabaw sa lingkuranan o sa ilalum sa lingkuranan?
Kailangan mo nang magsimula ng bagong negosyo.,You need to start a new business.,Kinahanglan na nimo nga magsugod og usa ka bag-ong negosyo.
Di madaling pag-aralan ang isang banyagang wika.,It is not easy to learn a foreign language.,Dili sayon tun-an ang usa ka langyaw nga sinultian.
Di madaling pag-aralan ang isang dayuhang wika.,It is not easy to learn a foreign language.,Dili sayon tun-an ang usa ka langyaw nga sinultian.
Sabi ni Maria na magsasayaw siya buong gabi.,Maria says she will dance all night.,Ingon si Maria nga mosayaw siya tibuok gabii.
Ang pangarap ko ay magbiyaheng palibot ng mundo.,My dream is to travel around the world.,Ang akong pangandoy mao ang pagbiyahe sa tibuuk kalibutan.
"Arkitekto ang tatay ko, hindi inhenyero.","My father is an architect, not an engineer.","Arkitekto ang akong amahan, dili inhenyero."
Pinalaki niya ang kanyang mga anak nang matapat.,He raised his children faithfully.,Gipadako niya nga matinud-anon ang iyang mga anak.
Binigay niya ang kanyang pangalan at numero sa telepono.,He gave his name and phone number.,Gihatag niya ang iyang ngalan ug numero sa telepono.
Ang ganyang uri ng laruan ay may masamang impluwensiya sa mga kabataan.,That type of toy has a bad influence on young people.,Kana nga klase nga dulaan adunay dili maayong impluwensya sa mga batan-on.
Iyan ang pinakamataas na gusaling nakita ko.,That's the tallest building I've ever seen.,Kana ang labing kataas nga gusali nga akong nakita.
Dinedesigneyt ng mga linyang asul sa mapa ang mga ilog.,The blue lines on the map designate the rivers.,Ginatudlo sa mga linya nga asul sa mapa ang mga sapa.
"Pagka namumulaklak, maganda ang puno ng milokoton.","When it blooms, the peach tree is beautiful.","Kung mamulak kini, nindot ang kahoy sa milokoton."
Walang kagaya ng tag-init at ayskrim.,There's nothing like summer and ice cream.,Wala?y sama sa ting-init ug ayskrim.
Mas mahal ang orasan na ito kaysa doon.,This clock is more expensive than that.,Kini nga orasan labi ka mahal kaysa ato.
Eksaktong ito ang hinahanap ko.,This is exactly what I was looking for.,Kini gyud ang akong gipangita.
Unang beses kong sakyan ang kabayo.,It was my first time to ride a horse.,Unang higayon nako nga sakyan ang kabayo.
Unang beses kong lumangoy sa lawa.,I swam in the lake for the first time.,Unang higayon nako ngamolangoy sa lawa.
"Para sa matatanda itong pelikula, di para sa bata.","This is a movie for adults, not for children.","Kini nga pilikula alang sa mga hamtong, dili alang sa mga bata."
May tinanong sayo si Tom.,Tom asked you something.,Adunay gipangutana si Tom kanimo.
Paki sagot.,Please answer.,Palihug tubaga.
Mas mataba si Tom ngayon kaysa nung huli ko siyang nakita.,Tom is fatter now than when I last saw him.,Mas tambok si Tom karon kaysa kaniadtong ulahi nako siyang makit-an
Kung minsan nawawalan tayo ng pasensiya para sa matatanda.,Sometimes we lose patience for elders.,Usahay mawad-an kita og pasensya alang sa mga tigulang.
Sino ang paborito mong manunulat ng siyensiyang piksiyon?,Who is your favorite science fiction writer?,Kinsa ang imong paborito nga manunulat sa siyensiyang piksiyon?
"Dapat hindi ka na nagparini sa simula, e.","You shouldn't have tried it in the first place, e.","Dapat nga wala na ka miadto diri sa sugod, e."
Anong sinabi mo?,what did you say,Unsa imong giingon?
Wala akong sinabi.,I didn't say anything.,Wala koy giingon.
Isang magandang lawa'y nasa dako paroon ng gubat.,There is a beautiful lake in the forest.,Ang usa ka matahum nga lanaw naa sa taliwala sa lasang.
"Pagkatapos ng malakas na ulan, bumahang maigi.","After a heavy rain, it flooded thoroughly.",Pagkahuman sa kusog nga ulan nibaha og grabe.
Gawin mo sa iyong paraan kung ayaw mo ang akin.,Do it your way if you don't like mine.,Buhata sa imong pamaagi kung dili nimo gusto sa ako.
"Kahit na pigilin mo ako, di ko iibahin ang isip ko.","Even if you stop me, I won't change my mind.","Bisan pa og pugngan ko nimo, dili nako bag-ohon akong hunahuna."
Natapos mo na bang basahin ang dyaryo ngayong araw?,Have you finished reading the newspaper today?,Nahuman na ba nimo og basa ang syaryo karong adlaw?
Nakalimutan mo nang bata ka noon?,Have you forgotten how young you were?,Nakalimot ka nga bata ka sauna?
"Pagka pinag-uusapan niya ang hobby niya, palagi siyang parang seryoso.","When he talks about his hobby, he always seems serious.","Kung hisgotan ang iyahang kalingawan, kanunay siya nga mura og seryoso."
Dinagan niya ang kanyang mukha sa bintana ng tindahan.,He ran his face through the shop window.,Gipatong niya ang iyang nawong sa bintana sa tindahan.
Magaling siyang mag-ski noong maliit pa siya.,He was good at skiing when he was little.,Maayo siya mag-ski sa gamay pa siya.
Ang bahay niya'y nasa timugang tabi ng ilog.,His house is on the south side of the river.,Ang iyang balay naa sa habagatang bahin sa sapa.
Hindi masalin ang tula niya sa Hapon.,His poetry cannot be translated into Japanese.,Dili masalin sa Hapon ang iyahang tula.
Gaano katagal kayong nagkakasama ng asawa mo?,How long have you and your husband been together?,Unsa na mo kadugay nagkuyog sa imong asawa?
Sori na inabala kita talaga.,I'm really sorry to bother you.,Pasensya na gisamok gyud tika.
Iniisip kong ipasara na ang savings account ko.,I am thinking of closing my savings account.,Naghunahuna ko nga ipasirado ang akong account sa pagtipid.
Pinigil ko na ang pananagarilyo at parang bagong tao na ako.,I have stopped smoking and I feel like a new person.,Giundang na nako ang pagpanigarilyo ug mura ko of bag-ong tawo.
Pasensiya na at nahuli ako.,Sorry I'm late.,Pasensiya na og naulahi ko.
Ako ay lumiban mula sa paaralan dahil ako ay nagkasakit.,I was absent from school because I was sick.,Wala ko miskwela tungod kay nagkasakit ko.
Pwede mo ba akong isakay?,can you give me a ride,Pwede ba ko nimo nga isakay?
Simula alas-dos hinihintay na kita.,I've been waiting for you since two o'clock.,Naghulat ako kanimo sukad alas dos.
Mahirap maglakad ng 60 kilometro sa isang araw.,It is difficult to walk 60 kilometers in a day.,Lisud maglakaw og 60 kilometros matag adlaw.
Parang natutuwa siya sa astronomiya.,He seems to enjoy astronomy.,Daw nalipay siya sa astronomiya.
Napakalamig kagabi kaya nanatili lang ako sa bahay.,It was so cold last night that I just stayed at home.,Bugnaw kaayo kagabii busa nagpabilin ra ko sa balay.
Namatay ang aking lolo sa Ikalawang Digmaang Pandaigdig.,My grandfather died in World War II.,Namatay ang akong lolo sa Ikaduhang Digmaang Kalibutanon.
Walang lumalabas sa gantong klaseng panahon.,Nothing goes out in this kind of weather.,Walay nagagawas sa ignon niining klase sa panahon.
Lumipad ang aming eroplano sa itaas ng Karagatang Pasipiko.,Our plane flew over the Pacific Ocean.,Nilupad ang among eroplano sa taas sa Kadagatang Pasipiko.
Hinabol ng mga bata ang parada ng sirkus.,The children chased the circus parade.,Gigukod sa mga bata ang parada sa sirkus.
Ang nayon ay binukod ng malakas na bagyo.,The village was isolated by a strong storm.,Ang baryo gilayo sa kusog nga bagyo.
May mga kurtinang nakabitin sa bintana.,There are curtains hanging on the window.,Adunay mga kurtina nga nagbitay sa bintana.
Tatlong tao ang nakapila sa harap ko.,Three people were in line in front of me.,Tulo ka mga tawo ang nakalinya sa akong atubangan.
Inakusahan ni Tom si Mary ng pagsisinungaling.,Tom accuses Mary of lying.,Giakusahan ni Tom si Mary og pagmakak.
"Umarteng masaya si Tomas, pero sa kalaliman niya, malungkot siya.","Tomas is outwardly happy, but deep down, he is sad.","Niarte nga malipayon si Tomas, apan sa ilalom, nasubo siya."
Inalis nina Tom at Mary ang bangka sa tubig.,Tom and Mary took the boat out of the water.,Gikuha ni Tom ug Mary ang bangka gikan sa tubig.
Nagtatanim si Tom ng palm tree sa kanyang likod-bahay.,Tom is planting a palm tree in his backyard.,Nagatanom si Tom og punoan sa palmera sa likod sa iyang balay.
Anong gagawin mo sa eskuwela nitong tanghali?,What are you going to do at school this afternoon?,Unsa man ang imong buhaton sa eskwelahan karong hapon?
"Kahit ano'ng sabihin niya, hindi magbabago ang isip ko.","No matter what he says, I won't change my mind.","Bisan kung unsa ang iyang isulti, dili mausab ang akong hunahuna."
"Di ka pa naghugas ng kamay, di ba?","You haven't washed your hands yet, have you?","Wala pa ka naghugas og kamot, dili ba?"
Ang soolohiya ay tungkol sa pag-aaral ng buhay ng hayop.,Zoology is about the study of animal life.,Ang soolohiya bahin sa pagtuon sa kinabuhi sa hayop.
Ang Amerika ang pinaka-magandang lugar sa buong mundo.,America is the most beautiful place in the world.,Ang Amerika mao ang pinakanindot nga lugar sa tibuok kalibutan.
Interesado ka bang bumili ng encyclopedia?,Are you interested in buying an encyclopedia?,Interesado ba ka nga mopalit og ensayklopedya?
"Noon, gustung-gusto kong maglaro ng checkers.","Back then, I loved playing checkers.","Kaniadto, ganahan kaayo ko nga magdula og checkers."
Anong karapatan mong utusan akong gawin ito?,What right do you have to order me to do this?,Unsa man ang katungod nimo nga magsugo ka nako nga buhaton kini?
Siya ang nagbigay ng patunay sa pahayag ko.,He gave proof of my statement.,Siya ang naghatag og pamatuod sa akong pamahayag.
Natakot siya sa mangyayari.,He was afraid of what would happen.,Nahadlok siya sa mahitabo.
Siya ang unang nag-eksperimento.,He was the first to experiment.,Siya ang una nga nag-eksperimento.
Sa tingin ko hindi niya kamukha ang nanay niya.,I don't think she looks like her mother.,"Panan-aw nako, dili siya kanawong sa iyahang inahan."
Kalimitang sa supermarket na ito ako namimili.,I often shop at this supermarket.,"Kasagaran, dini naa supermarket ko nagapalit."
Sana ay hindi na lang ako bumili ng isang walang kuwentang bagay.,I wish I hadn't just bought something worthless.,Unta wala na lang ko nipalit og usa ka walay hinungdan nga butang.
"Kung maganda bukas, magpipiknik tayo.","If it's nice tomorrow, we'll have a picnic.","Kung nindot ugma, magpiknik kita."
"Kung umulan bukas, nasa bahay na lamang ako.","If it rains tomorrow, I'll be at home.","Kung moulan ugma, sa balay na lang ko."
"Kung makakita ka ng pagkakamali, pakitama ito.","If you find a mistake, please correct it.","Kung makakita ka og sayup, palihug itama kini."
Mga sampung minuto papunta sa istasyon gamit ang bus.,About ten minutes to the station by bus.,Mga napulo ka minuto sa estasyon sakay sa bus.
"Hindi ko opinyon, kundi translasyon ko lamang.","Not my opinion, just my translation.","Dili nako opinyon, apan translasyon lang nako."
Inaalagaan ng kapatid ko ang lahat ng gamit nya.,My brother takes care of all his things.,Ginatiman sa akong igsoon ang tanan niyang mga kabtangan.
Nilakihan ng batang lalaki ang kanyang mga lumang suot.,The boy outgrew his old clothes.,Gipadak-an sa bata nga lalaki ang iyahang mga daan nga sinena.
Nakakatuwa ang magasin na pinahiram mo sa akin.,The magazine you lent me is interesting.,Kataw-anan ang magasin nga gipahiram nimo sa ako.
Talagang ang karamihan ng bata'y gusto ang ayskrim.,Most kids really like ice cream.,Kadaghanan sa mga bata gusto gyud og ayskrim.
Unang beses kong makita itong hayop.,It was my first time to see this animal.,Kini ang una nga higayon nga nakita ko kini nga hayop.
Di alam ni Tomas ang paggamit ng kompyuter.,Tomas does not know how to use a computer.,Dili kabalo si Tomas unsaon paggamit sa kompyuter.
"Bukas ng gabi, papunta ako sa paliparang Narita.","Tomorrow night, I'm going to Narita airport.","Ugma sa gabii, moadto ako sa paliparan sa Narita."
Dapat matuto tayong tumira sa armonya sa kalikasan.,We must learn to live in harmony with nature.,Dapat makabalo tang mopuyo nga nahiuyon sa kinaiyahan.
Anong ginagawa ng nanay mo pagdating mo sa bahay?,What is your mother doing when you get home?,Unsa ang ginahimo sa imong inahan sa pag-abot sa balay?
"Nang matapos niya ang kanyang trabaho, agad siyang umuwi.","When he finished his work, he immediately went home.","Pagkahuman sa iyang trabaho, mipauli dayon siya."
Pwede mo ba akong bigyan ng iba pang pangungusap na isasalin?,Can you give me another sentence to translate?,Pwede ba ko nimong hatagan og lain pang sentensya nga isalin?
Maaari mo bang sabihin sa akin kung paano pumunta sa istasyon ng Osaka?,Can you tell me how to get to Osaka station?,Mahimo ba nimo isulti kanako kung unsaon pag-adto sa estasyon sa Osaka?
Tinatago niya ang kasamaan niya sa likod ng mga ngiti.,He hides his evilness behind smiles.,Ginatago niya ang iyang pagkadaotan luyo sa iyang pahiyom.
Sabik na niyang subukan ang surpbord na bago niya.,He is eager to try his new surfboard.,Naghinamhinam siya nga sulayan ang bag-ong surfboard nga anaa kaniya.
Sinabi niya sa amin na naranasan niya ang maraming kahirapan.,He told us that he had experienced many hardships.,Gisulti niya sa amo nga nakasinati siya og daghang kalisod.
Lasing siya't nakalimutan sarhan ang pinto sa likod.,He was drunk and forgot to close the back door.,Hubog siya ug nakalimtan niya ang pagsira sa pultahan sa likod.
Mabait naman siyang tinuro sa akin ang tigilan ng bus.,He kindly showed me the bus stop.,Buotan siyang gipakita kanako kung asa ang hunonganan sa bus.
"Bumili ako ng camera, pero nawala ko sa sumunod na araw.","I bought a camera, but I lost it the next day.","Nipalit ko og kamera, apan nawala sa sunod adlaw."
Di ako naniniwalang bata siyang nagsariling pumunta sa Tokyo.,I don't believe that he went to Tokyo on his own as a child.,Dili ko motuo nga bata pa siyang nagsarili nga miadto sa Tokyo.
Nakakatulog ako sa klase paminsan-minsan.,I fall asleep in class sometimes.,Makatulog ko sa klase panagsa.
Pinapakain ko ang aking pusa sa araw at sa gabi.,I feed my cat during the day and at night.,Ginapakaon nako ang akong iring sa buntag ug gabii.
Natagpo ko siya sa taglamig nang ilang taon na.,I met him in the winter several years ago.,"Nakit-an nako siya kaniadtong ting-tugnaw, usa ka tuig na ang milabay."
"Sa susunod na buwan, papuntang Hokkaido akong kasama ang kaibigan ko.","Next month, I'm going to Hokkaido with my friend.","Sa sunod nga bulan, moadto ko og Hokkaido kauban ang akong higala."
"Wala akong brilyanteng singsing, pero masaya pa rin ako.","I don't have a diamond ring, but I'm still happy.","Wala koy brilyante nga singsing, apan malipayon gihapon ko."
"Pagka ihalo mo ang asul at pula, ang resulta'y kulay ube.","When you mix blue and red, the result is purple.","Kung imong isagol ang asul ug pula, ang resulta mao ang kolor nga ube."
"Pagka uminom ka nitong gamot, mas gagaling ang paramdam mo.","After you take this medicine, you will feel better.","Kung moinom ka niining tambala, mas moayo ang imong pamati."
Nakakatuwa para sa akin ang magbasa ng aking lumang talaan sa araw-araw.,It's fun for me to read through my old log everyday.,Lingaw alang nako ang magbasa sa akong daan nga talaan sa pang adlaw-adlaw.
Wala nang magagawa ang paninisi mo sa kanya sa aksidente.,Blaming him for the accident will do nothing.,Wala nay mahimo ang pagbasol nimo sa iyaha sa aksidente.
Di bawas nang isang oras ang pagpunta roon.,It will take an hour to get there.,Dili moubus sa usa ka oras ang pag-adto didto.
Klarong di niya gustong kausapin ako.,It's clear he doesn't want to talk to me.,Klaro nga dili niya gusto makigstorya kanako.
Walang mas importante sa buhay kundi ang kalusugan.,Nothing is more important in life than health.,Wala nay mas importante pa sa kinabuhi kon di ang kahimsog.
Umabot ang bata para isa pang pirasong keyk.,The boy reached for another piece of cake.,Niabot ang bata pa sa isa pa ka pidaso sa keyk.
Gumawa ng kastilyong buhangin ang mga bata sa dalampasigan.,The children built a sandcastle on the beach.,Nagtukod ug kastilyo nga balas ang mga bata sa baybayon.
Ang unang dapat mong gawin ay magligo.,The first thing you should do is take a shower.,Ang una dapat nimo nga buhaton kay maligo.
Inamin ng lalaki na pinasok niya ang bahay.,The man admitted that he broke into the house.,Niangkon ang lalaki nga gisulod niya ang balay.
Seryosong problema ang biglaang pagtaas ng populasyon.,The sudden increase in population is a serious problem.,Seryoso nga problema ang kalit nga pagtaas sa populasyon.
Hindi maliwanag ang mga bituin dahil sa mga ilaw ng siyudad.,The stars are not bright because of the city lights.,Hinay ang siga sa mga bituon tungod sa mga suga sa syudad.
Itong lawa'y isa sa pinakalalim sa bansa.,This lake is one of the deepest in the country.,Kini nga lawa kay usa sa mga pinakalalum diri sa nasud.
Si Tomas at ang lola niya ay nagpuntang bukstor.,Tomas and his grandmother went to the bookstore.,Niadto si Tomas ug ang iyang lola sa bukstor.
"Baka nasa kusina si Tom, pero ewan ko.","Tom might be in the kitchen, but I don't know.","Basi ug naa sa kusina si Tom, pero ambot lang."
"Maaaring nasa kusina si Tom, pero hindi ko alam.","Tom might be in the kitchen, but I don't know.","Tingali ug naa sa kusina si Tom, pero wa ko nahibalo."
Mukhang interesado talaga si Tom kay Mary.,Tom seems really interested in Mary.,Mura ug interesado gayud si Tom kang Maria.
Nagising si Tom ng aso niya nang mga hatinggabi.,Tom was woken up by his dog around midnight.,Naggimata si Tom sa iyang iro sa tungang gabii.
Masasanay ka agad nang pamumuhay sa bukid.,You will soon get used to living on the farm.,Maanad ra ka sa panginabuhi sa bukid.
Mga katlo ng ibabaw ng Tiyera'y lupa.,About a third of the Earth's surface is earth.,Ang ikatlo nga bahin sa Tiyera kay yuta.
Karaniwang mas mahaba ang buhay ng mga babae kaysa sa mga lalaki.,Women generally live longer than men.,Kasagaran mas tag-as ang kinabuhi sa mga babae kay sa mga lalaki.
Pinakinggan niyang mabuti ang sinabi nito.,He listened carefully to what she said.,Naminaw siya ug maayo sa gisulti niini.
