document,topic_id
we will start at six in the morning on the 20th of august.,66
i kind of like him.,-1
how far is the next gas station?,78
he doesn't like heels.,4
"how are you - ""that's good!""",-1
you are the owner.,-1
he hammered the nails into the board.,4
that's bullshit.,42
where did you threaten them?,-1
he ran out of money in hawaii.,-1
"these past few days, i have been restless.",-1
tom's parents don't like me.,1
that is realistic.,0
mike visited our principal mr. ogaki.,14
thanks for listening.,0
she sings better than him.,-1
"in ancient times, people communicated through smoke.",-1
he was even more upset because of the news.,4
his doctor told mr. smith to stop smoking.,54
i'm going to paris in the fall.,34
he shoots well,13
why are people afraid of you?,56
i bought my sister a new hat.,-1
there is a big supermarket.,17
i will tell you when he arrives.,65
many speak french.,34
he thought i didn't know what he said about me.,9
you are my father.,38
i saw him walking on the side of the road.,37
don't ask me anything.,-1
you can only smoke in the roof garden.,81
"by the way, this is a good sentence.",-1
i drink coffee.,24
he is ready to face his destiny.,37
they never forget to send their mother a gift on her birthday.,55
one more war and we will be destroyed.,-1
i'm happy to be here.,0
do not play with the mirror.,57
the road accident happened right in front of me.,40
i wanted to share with you a new application i'm using to create a memory book for my late grandfather.,6
you accept tom's suggestions.,1
he may not come.,-1
"you don't have to rush, he added.",70
that's fine.,-1
but they are all human.,0
they are having breakfast today.,3
i had to help him.,4
hardly beats tom at chess.,1
he is helping her.,12
they don't like tom.,1
tom intervened.,1
he forced us to go earlier.,37
i didn't vote for tom.,1
where is the restroom?,-1
where is the bathroom?,-1
you can't pick the flowers.,-1
don't wait for me.,58
i won't really wait for you.,10
"wait for me, just a moment.",-1
"in ancient times, they believed that our earth was the center of the universe.",16
how much will the ps4 be when it's released?,-1
your shoes stink.,-1
how much longer?,78
why are you letting mary do this to you?,11
"sorry, but you are calling the wrong number.",26
is the weather good?,-1
my birthday is tomorrow.,8
i like it,0
this is our bag.,17
i'm from manila.,-1
it's ours.,-1
what is your name,2
what time is it,8
it's mine.,0
i'm thirsty,51
it's yours.,0
the weather was good yesterday.,-1
this bag is mine.,17
let's go out.,0
the movie is over.,0
tom returned to his hometown.,1
ana is that girl.,21
where are the others?,2
the town is sleeping.,23
his wife often scolded him.,4
i myself have never seen a ufo.,-1
i don't like this tie.,-1
give me something brighter.,-1
what is that noise?,-1
we are learning arabic.,-1
what color is it?,-1
do you like it?,2
where is the market?,-1
where is the food,3
who are you,2
why are you leaving,39
are you leaving,2
why are you doing this?,39
how to cook it?,-1
how did you know,2
when is your birthday,66
when are you coming,2
who made it?,2
where is the exit?,2
where is the entrance?,2
how much is that,-1
how much is that?,-1
do you have money,-1
"no, i don't want to.",10
do you like that,2
ask for water!,-1
i need a cab!,5
what's the problem?,2
far away?,2
do you know english?,49
do you know tagalog?,-1
do you know filipino?,48
chen is a teacher.,-1
where is your father,38
where is my brother,76
why am i here,39
how are you?,2
where is the train station?,18
i want to sleep,23
it rained heavily yesterday.,50
forgive me,-1
sorry,0
i made a mistake.,-1
is it yours?,2
this is my pencil.,32
this is my book.,6
this is my bike.,40
this is my vocabulary.,0
this is my bag.,17
this is my car.,5
this is my dog.,45
this is my notebook.,32
this is my cd.,25
this is my mom.,21
this is my office.,32
this is my brother.,76
this is my kitchen.,-1
this is my question.,0
this is my house.,35
this is my father.,38
this is my friend.,44
this is my cat.,5
this is my horse.,29
this is mine.,0
this is my advice.,0
this is my mother.,21
this is my song.,0
i will school it.,0
this is my room.,35
this is my song.,0
this is my husband.,-1
this is my son.,68
i don't understand.,10
thank you very much!,67
where is paris?,34
where is the hospital?,2
where are we going,2
breakfast is ready.,3
what are you writing,2
who is your father,38
thank you!,67
thank you,67
where is the road?,-1
where is the cab?,5
where is the toilet,-1
where is the restaurant?,-1
where is the dining room?,-1
where is the bedroom?,-1
where is the store?,-1
where is manila?,-1
they went to the beach.,33
please write your name.,2
today is monday.,8
tomorrow is sunday.,8
i am learning to speak filipino.,48
do you speak italian?,77
do you speak filipino?,48
do you speak tagalog?,-1
"last month, we went to manila.",-1
he is from our village.,-1
he writes the letter.,-1
datu visited alvin.,76
i don't know.,-1
i love you!,7
what do you need,2
can i borrow it,-1
that's it for now!,7
happy birthday!,66
he acts like a child.,68
what are you looking for?,-1
that snake is poisonous.,-1
i know what to do.,0
there are many rare fish in the aquarium.,53
the church is beautifully decorated.,-1
he is worried about his son.,68
i wrote a letter to jim.,-1
this is his horse.,29
the man is a lawyer.,62
the rainbow is colorful.,-1
there is no one at home.,-1
he doesn't have a job.,19
there is someone at home.,-1
mr. nakamura is at home.,-1
the woman is a nurse.,-1
the mouse is under the floor.,-1
it is forbidden to enter!,-1
that's true.,0
analyn bought the cow.,-1
the air is cool and fresh.,-1
be careful.,-1
are you sick,2
you are very good to me.,0
i'm glad to meet you.,0
the weather is good.,-1
did you understand me,-1
please help me.,-1
"what is ""window"" in tagalog?",30
where to buy?,-1
"good day, tom.",1
is it yours?,2
are you busy,2
where have you been,2
how many are you,2
are you sad,2
are you,2
bob is my friend.,-1
i'm hungry,3
just a moment.,0
the book is on the table.,6
this is my computer.,36
this is my computer.,36
i am a man.,-1
i am a woman.,21
i am a nurse.,-1
i want to know.,0
i love you too!,7
how old are you i am twenty-six years old.,28
hi! i'm ricardo.,-1
nice to meet you.,0
how are you,2
let's eat here.,3
fishermen fear the adverse effects on other marine resources that are their livelihood,-1
"excuse me, if i may ask a favor.",-1
can i ask a favor?,-1
the girl is drinking tea.,24
what vegetable do you want to buy?,-1
i don't tolerate that without protest.,-1
i am eating now.,3
there is no dog bigger than this.,45
he goes to school at night.,-1
that's a secret.,0
please hand over the glue and scissors that are inside that box.,41
i will use those scissors to cut the yellow paper.,32
when will i see the effect of this drug?,-1
someone told me that the boy couldn't hear.,-1
it only lasted an hour.,-1
"are you sleeping, tom?",1
tom is a nice neighbor.,1
tom said he wanted to be alone.,1
we will play tennis.,75
the car did not stop.,5
paul was born in rome.,77
all countries have their own language.,-1
his birthday is on the twenty-first of august.,66
you are sixty.,28
i'm deaf and i can't hear you.,10
i invited twenty friends to the party.,28
tom is what you see.,1
how many books do you think you have read so far?,6
what color is tom's hair?,1
he walks like a duck.,53
my grandfather is five times older than me.,76
you can wait in this room.,-1
go home and call the police!,62
i had to help with the housework.,59
i know how to drive a car.,5
they bathed in the lake.,33
i saw that.,-1
he hesitated before answering.,9
what time do you sleep?,23
i don't understand why all these are needed.,9
i'm with tom.,1
today is saturday.,8
i didn't want to hurt you.,-1
the doctor saved four people who were injured in the accident.,54
we passed through a narrow passage.,0
how much should i pay?,-1
my daughter buys milk at the store.,-1
look at the size of that thing!,-1
i don't feel like going out now.,19
he has to feed his large family.,43
he likes music.,25
me too,0
whose pen is this?,-1
i ride a bike to work.,59
i have many friends.,44
his room is bright.,13
don't bite your nails.,57
i am studying english because i plan to go to the united states.,-1
i want something else.,-1
"if you allow me to speak, i can explain everything.",-1
tom doesn't go to his office on saturdays.,1
mothers are said to be happy!,7
how did you get in do you have the key?,-1
we hope that support will come in time.,-1
he left without saying goodbye.,-1
did someone call me when i was out?,61
i want your love,-1
"if i could speak english, they wouldn't have laughed at me.",9
they said the accident was caused by poor construction of the building.,40
i don't want to work in this situation.,58
i can't close the door.,-1
i think this cannot happen.,10
your cell phone is not working.,26
where did roberto travel to?,61
he traveled to many towns.,-1
the flower grows in early spring.,27
want to go for a walk after dinner?,-1
i like you because of your understanding.,0
lisa and i will meet this afternoon.,0
read where you left off.,-1
that's just in the stories.,-1
you are as tall as me.,-1
i wish you a happy birthday.,66
i don't have a boyfriend.,19
i'm glad to meet you.,0
how do i say that in your language?,-1
i love you more than you love me.,-1
tom is unemployed now.,1
how are you,2
did you have a pleasant trip?,2
i feel bad.,31
call the police!,62
it is very expensive!,7
he just sleeps so he doesn't snore.,23
my shoes are too small.,-1
i need a new one.,-1
he always wears a blue shirt.,-1
tomas has three dogs.,1
time to go.,-1
i persuaded tomas to join us.,-1
he thought it was a matter of life and death.,-1
"i can't walk anymore, dad!",38
"lift it up, oh!",0
"oy, let's rest here.",-1
my legs are tired and i can't walk anymore.,-1
who am i talking to?,2
my father will support me.,38
the bathroom is dirty.,-1
you did it yourself.,73
is this flower not beautiful?,27
tomas said nothing.,1
"even if you're fast, you're not ready.",10
can you put it all in the big bag?,17
i ordered him to do that.,13
what happened was like lightning in a cloudless sky.,22
will you give me your phone number?,26
he returned home after a long run away.,-1
he has visited hawaii many times.,48
draw a line from a to b.,-1
smoke was seen coming from the window.,30
in the corner of the room is a table.,41
no one can decide what to do.,-1
the sun got hot.,22
i reaped a lot,-1
tom doesn't know how to say what he wants to say in english.,1
i didn't beat them.,-1
i teach english almost every day.,49
are you happy at home?,-1
i will never do it again.,-1
the accident happened on the road.,40
we can meet.,0
can i travel?,-1
i sat next to him.,-1
shame!,7
write down what i will dictate.,0
no words can describe the love i have for you.,-1
that's not funny!,80
the park is full of children.,-1
and where do all the children in the orphanage go?,-1
"he was lying on the sofa, eyes closed.",23
we are the same age.,28
you are so kind.,0
beliefs are the result of our imagination.,-1
"i know i know that, but i can't remember.",10
i don't want to eat a live lobster.,3
i thought i couldn't find you.,10
petroleum is not small in our country.,-1
he was always on her mind.,12
give me any pen.,32
she has two cats.,5
he doesn't have a computer.,36
show me the way.,0
"he still writes novels from time to time, but not as often as before.",9
both students passed all their exams.,15
i feel so bad right now!,31
i think i have a very high fever.,31
why did you save that dark dog?,45
i haven't sneezed in a long time.,-1
is this book yours?,6
a horse is an animal.,29
"be smart, you can't drive without a steering wheel!",-1
all the books on the shelf have been read.,6
i am ready to follow you.,0
leave my car,5
the police searched for a missing object for a month.,-1
amnesia means loss of memory.,52
he makes the best sandwiches in the world.,3
that's my job.,59
you need to form four groups of six members each.,55
please don't do that.,-1
i want to live in a castle.,-1
i don't care about that stuff.,-1
the winner is the women.,21
i leave the books here.,-1
i took that picture last week.,8
"give me a glass of water, please.",51
"you have a dog, right?",45
many people attended the funeral.,-1
i will visit mom in the hospital tomorrow.,-1
what did christopher columbus discover?,-1
don't answer him!,80
this has to change.,0
tom is young.,1
i didn't have time to buy or to say goodbye to my mother.,19
i got sick; i stayed at home all day.,8
we have yellow apples.,20
sometimes i have a stomach ache.,31
she cooks for her husband every day.,12
where did you get that idea that i know something about robots?,-1
can i see you tonight,-1
they boarded the train.,18
tom helped maria with her homework.,11
"dimitri mendeleev was born on february 7, 1834.",-1
they are happy with the result.,0
the people who live with him in london will visit me.,-1
i want everything to be perfect.,-1
leave the books like that.,6
"finally, we got the information.",0
do not smoke here.,57
don't let anyone escape.,-1
i remember.,52
felipe wants to increase his body.,-1
i am laughing.,-1
my mother thought of nothing but my coming home.,-1
i have one thousand five hundred cows.,-1
yumi went there alone.,73
how many keys? asked pepperberg.,-1
the flood destroyed the crops.,-1
have you built a house?,35
i visited nara.,-1
do i sound like a fool if i talk like this?,9
are you done,2
that's his.,-1
i work here.,59
can you help me wash these dishes?,-1
do they both understand french?,34
i want a blue cake.,74
today's news in the newspaper is that a big storm is coming.,46
i want you to bring me a knife.,-1
i can't come here tomorrow.,-1
"this milk costs 3,000 dollars.",-1
look up the word in the dictionary.,-1
what is that noise?,-1
tom comes here almost every day.,1
thank you!,67
i love you so much you just don't appreciate me,-1
i am a journalist.,-1
tom is revising for his exam tomorrow.,1
i am fifteen years old. why do you ask?,28
tom was the first boy to kiss maria.,11
a storm in a glass of water.,-1
this website stores secret documents of several governments.,36
i need some time to think.,-1
i'm nervous and can't wait.,-1
"it was raining, so i stayed at home.",8
"there is no sneeze without a nose, no truth without a basis.",-1
my parents are divorced.,43
"some people like baseball; others, of saker.",75
there are 40 students in this class.,15
they made me wait a little while.,-1
health is the most important thing.,-1
read the text.,-1
i didn't want to fool you.,-1
my boyfriend is stupid.,-1
i don't know the city very well.,10
were you in hokkaido a year ago?,14
he speaks japanese very well.,14
do you think he will like it?,-1
small family farms disappeared.,-1
can't fish on this dike.,10
"actually, he likes her too.",12
tom cannot see what is written on the blackboard.,1
"for me, it's easier to work outside than to work at home.",59
are you sure he said that?,65
"not exactly like that, but he said it.",-1
"if you leave now, tomorrow night you will be in boston.",-1
i travel almost every day.,8
i'm not as fast as you.,10
tomorrow is a new day.,8
many jobs can be done with computers.,36
i don't feel like exercising.,19
i want to see you.,0
"when we got there, it suddenly rained.",50
call me tomorrow,26
he stopped the car.,5
even the mother knows.,21
they gave it to you.,0
do you understand the difference?,39
why do you wake up so early?,-1
we have an english exam today.,-1
just for a moment.,0
i sent you a letter.,-1
eat and drink.,-1
you need to keep your bedroom tidy.,8
he has finished eating breakfast.,3
their opinions differ.,42
this is our friend tom.,1
you don't have to call me.,-1
what do you want,2
he has a grudge against me.,4
don't speak japanese.,14
tom thinks he knows who mary's favorite musician is.,11
i want more,-1
we rented a cabin near a lake.,33
this is the house where the prime minister lives.,65
"in case i can't make it, you go alone.",9
"it's no use giving incentives, he doesn't change.",-1
which would you choose?,-1
i will take care of him myself.,-1
the weapon is mine.,69
look what the cat brought here.,5
"tomorrow is my birthday, and i will be 17.",28
i'm not hiding anything from you.,-1
he would never visit the city again.,-1
don't underestimate us.,-1
you have to persevere until you get it.,-1
i saw it on the discovery channel.,72
what tom really wants is a new guitar.,25
next year is an election.,0
"more than 3,000 people went to the concert.",-1
my friend is seventeen years old.,28
"he promised to marry her, but they never got married.",9
the effect is easy.,0
all you have to do is press this red button.,-1
japan is in asia.,14
i will do the work tomorrow.,8
the truth is that he never went to america.,-1
mary's husband is plump.,11
i want your love.,-1
"when you eat that much, you will gain weight.",3
come on!,7
he went with her to the cinema.,12
tell me.,0
they live near the airport.,-1
that room is not that big.,-1
nothing is more important than time.,-1
his parents are with him.,43
that is unnecessary.,-1
black is mine.,0
the children ran fast.,-1
he didn't want to go to boston.,9
he is the chosen one.,-1
yes.,0
tom did not know the boy who was talking to mary.,11
he knows the city well.,-1
turn on the tv.,72
you don't look.,10
"hey, dude. how are you",2
that's for my family.,43
guess who i am,-1
i don't swim very well.,-1
what do they want?,2
his number is wrong.,26
classes are suspended due to the flood.,15
i lost my pen.,-1
i saw the game on television.,72
i was afraid of the cat.,56
don't touch my child!,80
he seems happy.,13
"he asked me: ""who came first?""",61
i sincerely gave him the little i had.,12
we went to the park to take pictures.,-1
please wait,0
i will connect you to him.,0
"on clear days, mount fuji can be seen.",-1
"we sang, danced and talked after dinner.",-1
do you think our climate has an influence on our character?,-1
what time do you watch television?,72
we asked his sister to be kind and dedicated.,-1
i went to the library to read a book.,6
are you hungry,3
it is easier to plan than to implement.,-1
we need to deposit this money in a bank.,-1
"as far as i know, he is a diligent student.",48
what time do i have to arrive?,8
i know a man who knows french.,34
"after all the work at home, he sat on the sofa to watch television.",72
those are my sister's books.,6
we rented a car for a week when we were in italy.,77
did you like the bike?,40
"when he bit me, it hurt so much that i lost consciousness.",4
"why people can be classified into those categories, meanwhile, is a mystery.",-1
progress cannot be stopped.,-1
is this french correct?,34
"must eat to live, and not live to eat.",-1
they are saving money for a house.,35
that little skirt is pink.,27
i finished cleaning my room.,-1
"maybe you're right, i hate it so much.",42
there are many parks in our city.,-1
i will not write a letter in english.,63
we need leaders.,0
he gave me some of his soup.,3
are you at home,-1
they told me,-1
many soldiers died in world war ii.,69
not everyone knows what that means.,-1
not everyone knows the meaning.,10
do you know if lucia can speak japanese?,14
"it hasn't rained yet, but it's about to.",-1
i don't like this dress. show me something else.,-1
i want you to sing to me.,0
that train arrives in chicago at 9 tonight.,18
a small car is cheaper than a big one.,5
i'm always the first to arrive.,-1
are you there,2
this day is tiring.,-1
chopin sat down in front of the piano and began to play.,25
i need to add new dictionaries to the library.,6
i admit i forgot what i wanted to ask.,52
he took the chicken.,53
there are animals here.,29
he has to come here.,-1
someone must take care of the patient.,54
"let's go to the dead. ""who died?""",64
the two buildings are adjacent.,-1
you were so careless that you left your suitcase behind.,-1
he is not running.,9
let me look into that.,-1
he just wants to fool you.,-1
i won't let him fool me.,-1
i walked up to the door.,30
you are a bad person.,42
can i sit next to you,-1
"if he comes, tell him to come to my living room.",-1
how many times a week do they collect garbage in this city?,-1
three workers in the truck were killed in an accident.,40
you don't have to stay.,57
the person i was waiting for did not show up.,-1
he will go to sleep.,23
the key is on the writer's desk.,32
the cloud is shaped like a bear.,-1
you have to please your parents.,43
i will remember you forever.,-1
you do not have permission to enter this room.,-1
i saw it with my own two eyes.,79
"it's a beautiful sunset, isn't it?",22
he did it slowly.,-1
i would like to go to the united states.,-1
have you ever heard someone speak esperanto?,-1
"while some people want to have new shoes, others want to... just have feet.",-1
there will be a snow storm.,46
children make sand castles on the beach.,33
the floor is wet with water.,-1
i can sing well.,0
no one is better than him.,-1
i need a driver to take me home.,8
tom doesn't like cheese.,1
"before you leave the house, please turn off the lights in the kitchen and living room.",-1
i thought you wouldn't come.,10
his name is tom.,1
are you new here?,2
"all men are mortal, all greeks are men, therefore, all greeks are mortal.",64
my older sister swims very fast.,-1
bring it for your mother.,21
the school was reduced to ashes.,-1
only the dead saw the end of the war.,-1
does one of those rooms have a clock?,-1
we won the game.,0
the car broke down.,5
think it's a good idea to feed the dog leftovers?,3
one of my friends lives abroad.,48
we'll be there in an hour.,8
why don't you check out these data?,-1
i should accompany you.,0
this is the first time i will open this door.,-1
i pressed the red button but nothing happened.,19
i saw you talking to tom.,1
you need to do things that will help your children have a good life.,43
he came late.,-1
he didn't go to school because he was sick.,4
"if you are happy, i am happy.",-1
can you give me a clean knife?,-1
that's not what gentlemen think!,-1
"if i were rich, i would buy it.",-1
you don't have to dance unless you want to.,47
sand got into my eyes.,79
walk slowly.,0
"maybe, andy practiced a lot.",12
i can't remember his name at this hour.,-1
wash your face and hands.,-1
she is young and charming.,12
i'm sure you'll be good at it.,0
there was a slender puppy on the table.,41
welcome home,8
who is this old woman?,21
i have a lot of unnecessary things.,10
i'm older than your brother.,76
as far as i know this is the best.,0
my dream is now a star without brightness.,-1
the forest is full of trees.,29
whose drawing do you like?,2
he is not here now. why are you looking for him?,65
i didn't want this to happen.,10
i am as old as him.,-1
can i use your dictionary,-1
please open your eyes.,30
do find me a good book in the library.,6
i have to think.,-1
we didn't go through with the picnic plan.,-1
my appetite is small.,3
he is my neighbor.,-1
i want to lose weight.,-1
"i will start,",0
i will make you happy.,-1
i don't want to sleep!,23
it's time to sleep.,23
"according to the radio, it will rain tomorrow.",18
he is twelve years old.,-1
he is tall for his age.,28
where is father juan?,38
there is no bathroom here. pee behind that very tree.,-1
incorrectly copying a classmate's lesson.,15
can you tell me how to get to the station?,18
"we go to school every day, except during the week.",8
he stopped near tom's chair.,1
they stayed together for another day.,-1
thank you for congratulating me.,67
he wants a divorce.,-1
we see thousands of stars in the sky.,22
there is not a single star in the sky.,22
he is fed up with his job.,-1
the weather was rough for a whole week.,-1
"even if the husband is more strict, that is better than being alone.",-1
her outfit drew the attention of everyone present on the occasion.,-1
the public applauded the actress.,-1
"after breakfast, we went for a walk.",-1
do not make noise on this occasion.,-1
"if possible, i would like to see you.",-1
i ask you to put it back in its place.,-1
there is a lot of furniture in this room.,-1
she gave birth to twins.,-1
i have been looking for a job for a long time.,-1
"no matter what he eats, he doesn't gain weight.",-1
i made a big mistake.,-1
the gentleman can sit here.,-1
tom takes a bath before breakfast every day.,1
only those with ids will be allowed to enter.,-1
show your id before i let you in.,-1
"you left your id at home, so you can't enter.",-1
don't forget your id so you can enter the concert tomorrow.,-1
we don't have that in europe.,71
i'm really happy for you.,0
why is life full of pain?,-1
you are so beautiful when you are angry.,-1
what are they building in this place?,-1
the car is old but nice.,5
don't talk to me!,80
he did not catch the train at eight o'clock sharp.,18
do you want to go to the concert with me?,-1
he apologized for not showing up.,9
he lost his sight in the accident.,40
"regarding the operation, it can be painful.",31
i want to buy another one.,-1
"because i didn't know what to do, i didn't do anything.",-1
"have the children arrived? ""not yet, not one.""",-1
mary is happy.,11
what you say has no effect on me.,-1
how beautiful you are!,-1
tom asked mary where john lived.,11
don't stop him.,58
scientists are thinking of new ways to increase the world's food supply.,3
he seems to be doing as much as tom.,1
the city is small.,0
a truck ran over our dog.,5
don't open the door.,-1
ask him how much soup he wants.,3
"for example, it is seven o'clock in london today.",8
do you believe in a god?,2
you are not afraid of anything.,70
the next train has much less people than this one.,18
say goodbye to your friends.,-1
you might be late for school.,-1
he is weak in chemistry.,4
the apple tree has little fruit this year.,20
his father wanted him to be a pianist.,25
how much should i pay?,-1
i hope you fall into a trap.,-1
where did you learn english,49
the hat is too small for me.,-1
i want to know you better.,0
you are the only person i know who is my age.,-1
i confessed that i stole the money.,-1
he doesn't remember anything.,-1
you will die!,-1
my family wakes up early.,-1
do you all speak french?,34
he poured the milk into a bowl.,24
my feet are very cold.,46
the radio is broken.,18
betty killed her own mother.,-1
i did that only for your own good.,-1
my car collided with a motorcycle.,40
at your request.,0
why are you so mad at me?,39
our time is short.,-1
is there a bank near here?,2
mike has a friend who lives in chicago.,-1
they believed that chance would be different; that their voices are the difference.,-1
he is not hungry.,-1
why is he so famous?,-1
it's not important anymore.,-1
i would love that game.,-1
my debt is huge.,17
soldiers have weapons.,69
i would have bought it if it wasn't so expensive.,17
must follow the rules.,0
tom bought two copies of that book.,6
he is not happy with all his success.,4
he lives in new york.,-1
i have to feed my cat.,5
in the kitchen.,-1
he can't buy a car.,9
can he do that?,-1
i did all the work.,59
i did not answer either of those two letters.,-1
i'm doing something now.,0
tom is always tired after work.,1
he has a pianist daughter.,25
really cheap.,-1
she is happy with the new clothes.,-1
everyone knows that two more than two is four.,-1
tom doesn't know if maria will come with him tomorrow or not.,11
they are here.,0
he is here to learn.,-1
i wonder why for some people black cats bring bad luck.,5
tom teaches french in boston.,1
that's my dad's.,38
he finally did.,13
are you interested in flowers?,27
i don't understand this word. do you have a dictionary,-1
"without air and water, nothing could survive.",47
egg yolk is one of the main sources of vitamin a.,3
why are you hurting me so much?,39
what is that in your hand?,-1
you have to get back before dark.,-1
jim wrote to me last week and he said he's been back for two months.,-1
we went back to my house for dinner.,-1
i want to play tennis with you one day.,75
you have a great idea.,82
"i have two sons, one in tokyo and one in nagoya.",14
they took my blood at the hospital.,-1
where is the museum?,-1
it's not possible here. the sun is very hot.,22
what a big dog!,7
he saved me.,13
he writes to his parents once a month.,55
turn off the light.,-1
"and you, who are you?",2
i am paulo.,-1
what should i do?,2
are those girls in white skirts?,21
the vacation is over.,0
do you know how our life would be without electricity?,-1
dad has stopped smoking.,38
roger works from morning to night.,-1
i feel like sneezing...give me a tissue.,-1
he wanted to see her again.,12
i am closing my shop.,-1
he wants to eat this fruit.,20
termites eat wood.,-1
do you understand everything he says?,-1
john was the taller of the two boys.,-1
did they say how?,9
i'm nervous.,56
i'll call you when i get to the station.,18
we will never agree.,-1
do you know whose car that is?,5
i want to be with you.,0
i love my husband.,-1
which school are you going to?,2
his profession is teaching english.,49
oh! my computer is broken!,36
the professor showed us how to use the computer.,36
do you remember when you first ate at this restaurant?,-1
go up to the roof.,0
i want to go to the united states one day.,48
this bus will take you to the station.,18
the rain just stopped.,50
we can now begin.,0
this ruler can be read using two different methods.,-1
he is stubborn.,4
what do you want to do tomorrow?,8
he didn't want to accept the biscuit i offered.,3
we found out that he had an accident.,4
i had nothing to do with that incident.,-1
"he was born french, but is now a citizen of the united states.",48
taste it.,-1
he now knows what i mean.,12
you found a nice guy.,-1
our ship suffered no damage in the battle.,70
tom has a black cat.,1
students don't raise their hands much.,15
when did you come home?,-1
i thought i knew everything.,0
i really like the sound of his name.,13
i wonder why he did that.,12
i don't have enough money now.,17
i'm afraid to leave.,56
the prisoners were released by the governor.,-1
i can't climb this mountain.,10
he was on the phone.,26
do you have anything to do on friday afternoon?,8
"even if you are rich, i doubt you will be happy.",-1
jim has a white hat on his head.,-1
i don't know how to say thank you.,-1
you don't have to do that right now.,-1
take care! the car is here.,5
i have peace at home.,8
tom keeps all the letters that his mother sent him.,-1
he is so tall!,7
it's morning. children eat breakfast.,3
i am a cook.,-1
i want a server.,-1
tom feeds his dog twice a day.,1
he asked me for permission to use the phone.,26
have you called him yet?,26
there is a hotel here.,-1
"do you want to be a millionaire? ""who doesn't want?""",2
he can speak five languages.,-1
his ambition drives him to work hard.,12
he's here!,7
this is the first time i have invited mary.,11
"at that time, my house was still under construction.",35
"despite his young age, he did a good job.",-1
why do you clean the house every week?,8
does anyone disagree with the new plan?,-1
i would like to take this opportunity to thank everyone who has given their cooperation.,67
what nonsense!,7
put the gun down.,-1
you can't always get what you want.,-1
"yes, i like that.",0
the store was closed when i went.,-1
one thing you need to know about me is that i hate working out.,-1
he tells her that he will follow her wherever she goes.,-1
i looked for you.,-1
he was born in africa.,-1
tom is a famous painter.,1
what did they hit you with?,-1
must wash hands before eating.,-1
this table is dirty.,41
why don't we move to that table?,57
that's the building where my dad works.,38
i will never fool you!,-1
i hope you didn't tell him anything about the plan.,-1
you're not mexican?,-1
"yes, but i now live in argentina.",0
that's not right; apologize to him.,9
the woman is fat.,21
they will answer.,0
very quiet.,7
our time is running out.,-1
tom bought a used truck.,5
tom was imprisoned by them.,1
he made her do that.,12
all we want to do is eat.,3
i would love to see your stamp collection.,-1
divide that cake between the three of you.,74
i just want to see what happens.,-1
take care tom.,1
"even though i was tired, i continued to work.",59
i was confused by the expression on his face.,4
i promise you i will never do that again.,-1
i understand why.,39
i have so many questions.,0
are you fooling me,2
i will work all day tomorrow.,8
"because i couldn't pay the rent, i asked him for help.",9
what did you eat,3
i will sell my house.,-1
this rose is beautiful.,27
there was an earthquake yesterday.,-1
there was an earthquake yesterday.,-1
the two girls laughed.,-1
take that.,0
he never traveled by train.,-1
did you find that on the internet?,36
mary is respected by everyone.,11
i always tickle my youngest brother's feet.,-1
he was deeply saddened by the news.,4
victory is ours.,0
it was raining when i was walking yesterday.,50
i want to live in italy.,77
i am in the library.,6
what a mess!,7
i slapped him.,4
tom told me he didn't recognize mary the last time they met.,11
i was playing when i felt the earthquake.,-1
his wound bled.,4
"whenever he sings, all the birds seem to accompany him.",-1
it's very dark out there.,-1
a lot of rotten apples in the bush.,20
we start in half an hour!,-1
do you understand him?,39
"oh, it's cold today.",46
"take good care of him, he will get well soon.",-1
can you tell the difference between a japanese and a chinese?,14
"even though i've been sick for a month, i'm doing everything to get better.",-1
i counted to 200.,28
"you came to school yesterday, didn't you?",-1
he is your friend.,44
my husband will kill me.,-1
today is very hot.,22
tell us more.,0
the printer doesn't seem to connect to my computer.,36
what is more important?,-1
our cow does not give milk.,-1
this is what i need.,0
tom didn't know mary very well.,11
i'm not in the meeting.,-1
i have bad news for you.,42
they didn't know what to do with him.,9
i have no patience.,-1
he licked his lips.,4
they defended their country.,-1
i jumped out of bed.,-1
don't worry.,-1
i heard you also collect stamps.,-1
we are not the only ones who believe he is the culprit.,-1
do you know how to make plaskards?,-1
tom wants evidence.,1
i have a pen.,32
kick him!,7
you don't have a single piece of evidence.,-1
health is more important than wealth.,-1
"i would like to go, but i don't have a car.",19
there is more to do.,-1
but why would you hide your love from him?,-1
the man is dying.,-1
the pacific ocean is vast.,33
your hair is very long.,21
i worked all day yesterday.,8
you better leave tom alone.,1
i need you here.,0
don't punish him.,-1
he is not guilty.,-1
my youngest brother is still sleeping.,23
we are learning french.,34
his house is near the river.,35
you are progressing.,-1
my big toe started bleeding.,-1
tom filled the box with food.,1
the postman hasn't been here yet.,-1
he cut his hair.,-1
can you email that?,-1
have you finished reading the newspaper?,-1
i'm not sure when he'll be back.,9
i can't find my pocket.,17
he weighs seventy kilograms.,-1
why is tom doing that?,1
sorry we can't help you.,10
betty killed everyone.,-1
hopefully scientists will find a solution to aids soon.,-1
come in here.,0
we were not at home yesterday.,19
he wants to see you dead.,-1
he was blinded.,4
he was laughed at by the other boys.,-1
i was born in osaka.,-1
which snake is the fastest in the world?,-1
i didn't notice him.,-1
you don't have to go to school today.,-1
the police did not find any evidence of anyone.,9
a river divides the city.,-1
