Topic,Count,Name,Representation,Representative_Docs
133,51,133_help_help don_help help_don ask,"['help', 'help don', 'help help', 'don ask', 'ask', 'impossible', 'helping', 'ask don', 'want help', 'answer']","['i don t know when i can help you', 'it doesn t help', 'why don t you help']"
134,46,134_clean_takes_week_day,"['clean', 'takes', 'week', 'day', 'dirty', 'doesn want', 'times', 'good day', 'clean room', 'mount']","['it s something we see but don t clean every day', 'he takes a bath every morning', 'takes a bath before breakfast every day']"
135,24,135_chicken_pickled_chicken cooks_grain,"['chicken', 'pickled', 'chicken cooks', 'grain', 'eat pickled', 'eats pickled', 'ate pickled', 'salsa', 'slightly', 'slightly larger']","['i don t like chicken', 'ricky eats chicken in the kitchen', 'is cooking chicken']"
136,30,136_computer_office_nice_meet,"['computer', 'office', 'nice', 'meet', 'saturdays', 'jobs', 'voices', 'computers', 'desk', 'eliza']","['do you have a computer', 'this is my computer', 'this is my computer']"
137,38,137_visited_people_temple_dao,"['visited', 'people', 'temple', 'dao', 'buddhists', 'religious', 'republic', 'temples', 'religions', 'strange']","['mountain people are religious', 'the buddhists took a chariot to their temple', 'the people of barsoom are buddhists']"
138,57,138_smart_careful_good_kind,"['smart', 'careful', 'good', 'kind', 'person', 'good person', 'honest', 'nice', 'children good', 'despite']","['he is very careful so he doesn t make mistakes very often', 'he is a kind person', 'he s a smart kid really']"
139,46,139_play_plays_musician_learn,"['play', 'plays', 'musician', 'learn', 'want learn', 'guests', 'tennis', 'piano', 'looks like', 'don play']","['i want to learn to play the banjo', 'he is a very good musician', 'i am a musician']"
140,36,140_tea_fine_drink_bubble,"['tea', 'fine', 'drink', 'bubble', 'hot', 'real', 'boiling', 'gumamela garden', 'like drink', 'illusion']","['you drink tea', 'does anyone want some tea', 'mirabel sipped at the tea']"
141,26,141_home_home home_ok_come home,"['home', 'home home', 'ok', 'come home', 'straight', 'mayuko', 'want walk', 'home come', 'coming home', 'sent']","['can i go home now', 'you can go home now', 'you can go home now']"
142,43,142_store_countries_market_doria,"['store', 'countries', 'market', 'doria', 'sell', 'buy', 'business', 'doria shopping', 'shopping', 'buys']","['where is the store', 'is there no tax in this store', 'he went to the store']"
143,40,143_village_welcome_inside_city,"['village', 'welcome', 'inside', 'city', 'looking', 'come', 'returned', 'exclusive addresses', 'addresses', 'got got']","['come back', 'come back', 'the occupants again returned to the city']"
144,60,144_food_eat_want eat_live,"['food', 'eat', 'want eat', 'live', 'cheap', 'doesn eat', 'eat food', 'laboratory', 'food eat', 'bring']","['what do you want to eat', 'all we want to do is eat', 'what do you want to eat']"
145,40,145_think think_think_got_line,"['think think', 'think', 'got', 'line', 'think sad', 'tell got', 'got got', 'know think', 'ricardo', 'long think']","['pretend you are sane what will you do first', 'because i too get hit by this line', 'do you think made a good decision']"
146,34,146_morning_end_good morning_escape,"['morning', 'end', 'good morning', 'escape', 'monday', 'released', 'prison', 'end year', 'governor', 'unbelievable']","['has a friend who is in prison', 'i do not know when the prisoners will be released', 'the prisoners were released by the governor']"
147,27,147_eggs_egg_quail_quail eggs,"['eggs', 'egg', 'quail', 'quail eggs', 'eggs cooks', 'used', 'excuse', 'symbol', 'cooks tsitsaron', 'cooks']","['i prefer quail eggs', 'quail eggs are included with his soup', 'cooks quail eggs']"
148,37,148_abroad_london_vacation_far,"['abroad', 'london', 'vacation', 'far', 'trip', 'visit', 'traveled', 'arrived', 'people live', 'study']","['i arrived in london', 'he went to london in', 'they went on a trip abroad for the first time']"
149,34,149_hope_restaurant_wish_eat,"['hope', 'restaurant', 'wish', 'eat', 'greek', 'italian', 'australia', 'year', 'ancient greek', 'korean']","['i wish we could eat at a french restaurant', 'i wish we could eat at a swedish restaurant', 'i wish we could eat at a vietnamese restaurant']"
150,30,150_talk_want talk_don talk_talk don,"['talk', 'want talk', 'don talk', 'talk don', 'problems', 'available', 'sound like', 'told talk', 'sound', 'think time']","['can i talk to you', 'i need to talk to you', 'if you want to talk talk']"
151,22,151_danced_legs_lizard_dinner don,"['danced', 'legs', 'lizard', 'dinner don', 'come let', 'sang', 'talked', 'music', 'night', 'started']","['they danced', 'can t find anyone to dance with', 'they danced']"
152,44,152_tell_simple_secret_want tell,"['tell', 'simple', 'secret', 'want tell', 'know secret', 'don tell', 'plan', 'idea tell', 'night don', 'dripwood']","['this is my secret', 'that s a secret', 'here s my secret']"
153,38,153_entered_room_stopped_sat,"['entered', 'room', 'stopped', 'sat', 'enter', 'finished', 'near', 'saw', 'rest', 'inside room']","['he entered the room at a run', 'he left the room when i entered', 'entered the room']"
154,25,154_lose_fat_fat eat_doesn think,"['lose', 'fat', 'fat eat', 'doesn think', 'drugs', 'scientists', 'losing', 'minds', 'hope', 'thinking']","['is gaining weight', 'i gained weight', 'you gained weight']"
155,25,155_stand_oh_standing_objects,"['stand', 'oh', 'standing', 'objects', 'allow', 'roof', 'heavy', 'hour', 'doctor', 'mirror']","['i stood up', 'stood up', 'we stood up together']"
156,25,156_dark_light_night_good evening,"['dark', 'light', 'night', 'good evening', 'evening', 'like day', 'night came', 'olives cooking', 'works night', 'went home']","['you have to get back before dark', 'it s very dark out there', 'the night was very dark']"
157,28,157_bread_cheese_burnt_pastry,"['bread', 'cheese', 'burnt', 'pastry', 'green cheese', 'dough', 'corn', 'pastry shop', 'picked corn', 'rodolfo']","['give me some bread please', 'where s the bread', 'the bread hardens']"
158,24,158_bowl_learned_fed_eat learned,"['bowl', 'learned', 'fed', 'eat learned', 'taught', 'student', 'ate', 'lot eat', 'poured', 'eat']","['ate the student s bowl', 'ate the student s bowl', 'ate the student s bowl']"
159,19,159_soup_puts_salty_cooking,"['soup', 'puts', 'salty', 'cooking', 'topped', 'chili', 'hot', 'sauce', 'likes lot', 'tomatoes']","['don t you want soup', 'puts ginger on the cooking soup', 'eat your soup quietly']"
160,23,160_breakfast_having_served eating_finished eating,"['breakfast', 'having', 'served eating', 'finished eating', 'johnny', 'sally guests', 'thought going', 'served', 'went walk', 'sally']","['it s breakfast', 'have you had breakfast', 'when is breakfast']"
161,19,161_rice_fried_soy_soylent,"['rice', 'fried', 'soy', 'soylent', 'ate fried', 'eat fried', 'movie soylent', 'soylent green', 'soy sauce', 'rice ate']","['how many bowls of rice did you eat', 'asians eat rice', 'i want tokwang mapo and two bowls of rice']"
162,27,162_white_brown_white chocolate_black,"['white', 'brown', 'white chocolate', 'black', 'festival', 'skin', 'green brown', 'green', 'chocolate colored', 'chocolate cake']","['the mask is green and brown', 'the mask is white and brown', 'the mask is white and brown']"
163,62,163_don know_tomorrow_sure_know don,"['don know', 'tomorrow', 'sure', 'know don', 'come tomorrow', 'tomorrow don', 'arrive', 'know', 'pass', 'come don']","['i don t know when will come home', 'i don t know when will come back', 'i don t know when he will come here']"
164,56,164_say_question_know say_ask,"['say', 'question', 'know say', 'ask', 'raised', 'ask question', 'notice', 'doesn know', 'question ask', 'raised hand']","['doesn t know how to say what he wants to say in english', 'the man raised his hand to ask', 'wanting to ask a question he raised his hand']"
165,25,165_sunday_saturday_afternoon_friday,"['sunday', 'saturday', 'afternoon', 'friday', 'monday', 'work day', 'tomorrow', 'finally', 'today', 'day']","['tomorrow is sunday', 'it was saturday night yes sunday', 'today is friday yesterday was thursday tomorrow is saturday then sunday']"
166,25,166_vegetables_stomach_tomatoes_tomato,"['vegetables', 'stomach', 'tomatoes', 'tomato', 'market', 'shopping', 'buy', 'fruits vegetables', 'lots', 'derek']","['they buy vegetables in the market', 'cooks vegetables', 'what vegetables do you like']"
167,42,167_slowly_small_big_quickly,"['slowly', 'small', 'big', 'quickly', 'wine', 'eats', 'cities', 'flavor', 'counts', 'necklace']","['ninoy put coconut on her palm', 'the big man ate the small coconut', 'the big man ate the small coconut']"
168,44,168_maja_blanca_maja blanca_ube,"['maja', 'blanca', 'maja blanca', 'ube', 'ate', 'makes', 'tocino', 'cielo', 'tocino cielo', 'mark ate']","['ate pan de ube', 'makes maja blanca', 'dindin tasted trixie s maja blanca']"
169,40,169_follow_passed_walked_walk,"['follow', 'passed', 'walked', 'walk', 'passed exam', 'followed', 'slow', 'exam', 'april', 'whistled']","['follow us', 'follow me', 'follow us']"
170,20,170_dream_true_come true_dreams,"['dream', 'true', 'come true', 'dreams', 'dreamed', 'squeezed', 'mexico', 'mayuko', 'ingredient', 'come']","['was that a dream', 'is this a dream', 'may my dream come true']"
171,18,171_quiet_silent_hands_raise,"['quiet', 'silent', 'hands', 'raise', 'remain', 'students', 'elephants', 'lizard', 'tail', 've']","['he was quiet all day', 'very quiet', 'be quiet']"
172,31,172_spanish_instead_foreign_finish,"['spanish', 'instead', 'foreign', 'finish', 'longer', 'professor', 'portuguese', 'speak', 'philippines', 'don speak']","['i am a professor of spanish language', 'i don t speak spanish', 'are you spanish']"
173,23,173_born_th_century_february,"['born', 'th', 'century', 'february', 'arabic', 'egypt', 'learning arabic', 'th august', 'india', 'december']","['when were you born', 'i was born in osaka', 'when was he born']"
174,20,174_gumamela_plants_plants castle_castle,"['gumamela', 'plants', 'plants castle', 'castle', 'gate', 'castle gate', 'castle garden', 'banana', 'plantations river', 'river castle']","['there are gumamela plants behind the castle', 'there are gumamela plants by the castle moat', 'there are gumamela plants next to the castle ramparts']"
175,24,175_country_enemy_enemies_considered,"['country', 'enemy', 'enemies', 'considered', 'india', 'spend', 'sin', 'shadow', 'famous', 'building']","['i told he was a coward', 'get back here coward', 'you coward']"
