tagalog,english,cebuano,kapampangan,bicolano
Huminto na ang tatay sa paninigarilyo.,Dad has stopped smoking.,Niundang na ang amahan sa pagpanigarilyo.,tinuknang neng manigarilyu i tatang ku.,Si Tatay nagpondo na sa pagsigarilyo.
Si Roger ay nagtatrabaho mula umaga hanggang gabi.,Roger works from morning to night.,Si Roger kay nagatrabaho gikan sa buntag hantod sa gabii.,I Roger magobra ya manibat abak angga bengi.,Si Roger nagtatrabaho poon aga sagkod banggi.
Parang babahing ako...bigyan mo ako ng panyo.,I feel like sneezing...give me a tissue.,Kahatsingon ko... tagai ko og panyo.,balamu mangatsing ku...dinan mu kung tissue.,Garo ako mabahing…tawan mo ako nin tissue.
Gusto niyang makita siya muli.,He wanted to see her again.,Ganahan siya nga makita siya og usab.,Buri neng akit pasibayu.,Gusto niyang mahiling giraray ini.
Isinasara ko na ang aking tindahan.,I am closing my shop.,Ginasirado na nako ang akong tindahan.,isara ke ing tindahan ku.,Isinasara ko an sakuyang tindahan.
Gusto niyang kainin ang prutas na ito.,He wants to eat this fruit.,Ganahan siya kaunon ni nga prutas.,Buri neng kanan iting prutas.,Gusto niyang kakanon an prutas na ini.
Kumakain ng kahoy ang mga anay.,Termites eat wood.,Nagakaon og kahoy ang mga anay.,Deng anay mamangan lang dutung.,An mga anay nagkakakan nin kahoy.
Naiintindihan mo ba ang lahat na kanyang sinasabi?,Do you understand everything he says?,Nakasabot ba ka sa tanan niyang gi-ingon?,Aintindian mu ing sablang sasabyan na?,Nasasabotan daw nindo an gabos na sinasabi nia?
Si John ang higit na matangkad sa dalawang batang lalaking iyon.,John was the taller of the two boys.,Si John ang pinakatangkad kung ikompara atong duha ka bata nga lalake.,I Juan ing mas matas kareng adwang anak a lalaki.,Si John an mas halangkaw sa duwang aking lalaki.
Sinabi ba nila kung paano?,Did they say how?,Gina-ingon ba nila kung unsaon?,sinabi da nung makananu?,Sinabi daw ninda kun paano?
Kinakabahan ako.,I'm nervous.,Ginakulbaan ko.,Nerbyus ku.,Kinakabahan ako.
Tatawagan kita pagkarating ko sa istasyon.,I'll call you when I get to the station.,Tawagan tika pag-abot nako sa istasyon.,Awsan daka potang miras ku istasyun.,Aapodon taka pag-abot ko sa istasyon.
Kahit kailan hindi kami sasang-ayon.,We will never agree.,Bisag kanus-a dili kami mo-uyon.,E kami kapilan man mikasundu.,Dai nanggad kita magkakaoyon.
Alam mo ba kung kanino ang kotseng iyan?,Do you know whose car that is?,Kabalo ba ka kung kay kinsa kanang sakyanan?,Balu mu nung kaninu ya saken ita?,Aram mo kun kiisay na kotse iyan?
Gusto kitang makasama.,I want to be with you.,Ganahan ko maka-uban ka.,Buri dakang akayabe.,Gusto kong makaibahan ka.
Mahal ko ang aking asawa.,I love my husband.,Gihigugma nako ang akong asawa.,kaluguran ke ing asawa ku.,Namomotan ko an sakong agom.
Sa aling paaralan ka pupunta?,Which school are you going to?,Sa asa nga eskwelahan ka padulong?,nukarin ka eskwela?,Saen na eskwelahan ka maduman?
Pagtuturo ng ingles ang kanyang propesyon.,His profession is teaching English.,Pagtudlo og Ingles ang iyang trabaho.,Ing kayang propesyon yapin ing pamagaral english.,An saiyang propesyon iyo an pagtukdo nin Ingles.
Ay! Sira ang aking kompyuter!,Oh! My computer is broken!,Ay! Guba ang akong kompyuter!,Ay! Sirang ya ing computer ku!,Ah! Raot an sakuyang kompyuter!
Pinakita sa amin ng profesora kung paano gamitin ang kompyuter.,The professor showed us how to use the computer.,Gipakita sa amoa sa among profersora kung unsaon pag-gamit og komputer.,Pepakit na kekami ning propesor nung makananu yang gamitan ing computer.,Ipinaheling sa samo kan propesor kun paano gagamiton an kompyuter.
Natatandaan niyo ba kailan kayong unang kumain sa restawran na ito?,Do you remember when you first ate at this restaurant?,Nakahinumdom ba kamo kung kanus-a ang pinaka-una na higayon nga nikaon mo diri nga restawran?,Atatandanan mu pa ba nung kapilan ka minunang mengan kening pipanganan ayni?,Nagigirumdoman mo pa kan enot kang nagkakan sa restawran na ini?
Umakyat ka sa bubong.,Go up to the roof.,Saka didto sa atop.,munta ka keng bubungan.,Magsakat sa atop.
Gusto kong pumunta sa Estados Unidos balang araw.,I want to go to the United States one day.,Ganahan ko maka-adto sa Edtados Unidos pag-abot sa panahon.,Buri kung munta keng Amerika balang aldo.,Gusto kong magduman sa Estados Unidos sarong aldaw.
Dadalhin ka ng bus na ito sa istasyon.,This bus will take you to the station.,Dalhon ka ani nga bus sa istasyon.,Ing bus ayni idala na ka keng istasyun.,An bus na ini an madara saimo sa istasyon.
Kahihinto lamang ng ulan.,The rain just stopped.,Bag-o ra niundang ang ulan.,Tinuknang namu ing uran.,Nagpundo sana an uran.
Tayo ay maaari nang magsimula.,We can now begin.,Mamahimo na kitang magsugod.,Malyari na kaming magumpisa.,Pwede na kitang magpoon.
Maaaring basahin ang ruler na ito gamit ang dalawang paraan na magkakaiba.,This ruler can be read using two different methods.,Mamahimong basahon sa duha ka nagkalain-lain nga pamaagi ang kini nga ruler.,Ing ruler ayni malyari yang abasa gamit ing adwang miyayaliwang paralan.,An ruler na ini pwedeng basahon gamit an duwang magkaibang paagi.
Matigas ang ulo niya.,He is stubborn.,Gahi siya og ulo.,Matapang ya buntuk.,Matagas an payo niya.
Anong gusto niyong gawin bukas?,What do you want to do tomorrow?,Unsa ang imong gusto buhaton ugma?,Nanung buri mung gawan bukas?,Ano an gusto mong gibohon saaga?
Ayaw niyang tanggapin ang inaalok kong biskwit.,He didn't want to accept the biscuit I offered.,Dili niya dawaton ang aong gihanyag nga biskwit.,E na buring tanggapan ing inalok kung biskwit.,Habo niyang akoon an inalok kong biskwit.
Nalaman naming siya ay naaksidente.,We found out that he had an accident.,Nahibal-an namo nga na-aksidente siya.,Abalu mi na atin yang aksidenti.,Naaraman mi na naaksidente siya.
Wala akong kinalaman sa insidenteng iyan.,I had nothing to do with that incident.,Wala koy kalabotan ana nga aksidenta.,Ala kung pakialam keng insidenti ayta.,Mayo akong labot sa pangyayaring idto.
"Siya ay ipinanganak na Pranses, ngunit ngayon ay isa nang mamamayan ng Estados Unidos.","He was born French, but is now a citizen of the United States.","Gipanganak siya sa Pranses, pero karon usa na siya ka lumulupyo sa Estados Unidos.","Mibait yang Pranses, dapot ngeni metung yang memalen ning Estados Unidos.","Siya namundag na Pranses, alagad ngonyan sarong namamanwaan kan Estados Unidos."
Tikman niyo ito.,Taste it.,Tilawi ninyo kini.,Tikman me.,Tikman mo.
Alam na niya ngayon kung ano ang ibig kong sabihin.,He now knows what I mean.,Kabalo na siya karon kung unsa ang akong buot ipasabot.,balu na ngeni ing buri kung sabyan.,Aram na niya ngonyan an boot kong sabihon.
Nakahanap ka ng isang mabait na lalaki.,You found a nice guy.,Nakakita ka og usa ka buotan nga lalaki.,menakit kang masanting a lalaki.,Nakakua ka nin magayon na lalaki.
Hindi nagkaroon ng pinsala ang aming barko sa labanan.,Our ship suffered no damage in the battle.,Wala nadanyos ang among barko sa giyera.,E ya mesira ing barku mi king labanan.,Mayo nin danyos an samong barko sa ralaban.
May isang itim na pusa si Tom.,Tom has a black cat.,Adunay usa ka itom nga iring si Tom.,I Tom atin yang pusa a maitim.,Si Tom igwa nin itom na pusa.
Ang mga estudyante ay hindi masyadong itinataas ang mga kamay.,Students don't raise their hands much.,Ang mga magtutuon kay dili kaayo nagataas og kamot.,Deng estudyanti e la masyadung tatas gamat.,An mga estudyante dai gayong nag-iitaas kan saindang mga kamot.
Kailan ka dumating sa bahay?,when did you come home?,Kanus-a ka niabot sa balay?,kapilan ka minuli?,kasuarin ka nag-uli?
Akala ko ay alam ko ang lahat.,I thought I knew everything.,Nagtuo ko nga nakabalo ko sa tanan.,Bala ku balu ku ngan.,Huna ko aram ko na an gabos.
Sobrang gusto ko ang tunog ng kanyang pangalan.,I really like the sound of his name.,Ganahan kaayo ko sa tingog sa iyang ngalan.,buri ke talaga ing tigtigan na ning lagyu na.,Gustong-gusto ko an tanog kan saiyang pangaran.
Ako ay nagtataka bakit niya nagawa iyon.,I wonder why he did that.,Nagapangutana ko sa akong sarili kung nganong nabuhat to niya.,Magtaka ku nung bakit gewa na ita.,Nagngangalas ako kun tano ta ginibo niya iyan.
Kulang ang pera ko ngayon.,I don't have enough money now.,Kulang ang akong kwarta karon.,Ala kung sapat a pera ngeni.,Mayo akong igong kwarta ngunyan.
Natatakot akong umalis.,I'm afraid to leave.,Nahadlok ko mohawa.,Tatakut kung mako.,Natatakot akong maghali.
Ang mga preso ay pinalaya ng gobernador.,The prisoners were released by the governor.,Ang mga piniriso kay gipagawas sa gobernador.,Ding makasukul pepalual na la ning gobernador.,Pinaluwas kan gobernador an mga preso.
Hindi ko maakyat ang bundok na ito.,I can't climb this mountain.,Dili nako ni masaka nga bundok.,Eku agyung umakyat keng bunduk ayni.,Dai ako makasakat sa bukid na ini.
Siya ay nasa telepono.,He was on the phone.,Naa siya sa telepono.,Atyu ya keng teleponu.,Nasa telepono siya.
May gagawin ka ba biyernes nang hapon?,Do you have anything to do on Friday afternoon?,Naa kay buhaton Biyernes sa hapon?,Atin kayu pung gagawan keng byernis gatpanapun?,Igwa ka daw nin gigibuhon sa Biyernes nin hapon?
"Kahit na ikaw ay mayaman, nagdududa akong ikaw ay masaya.","Even if you are rich, I doubt you will be happy.","Bisag ikaw usa ka datu, nagaduda ko kung malipayon ba ka.","Agyang makwalta ka, magduda ku nung maging masaya ka.","Dawa mayaman ka, nagdududa ako na magiging maogma ka."
Si Jim ay may sombrerong puti sa ulo.,Jim has a white hat on his head.,Si Jim nagsuot og kalo nga puti.,Atin yang maputing sumbrero i Jim keng buntuk na.,Si Jim igwa nin puting sombrero sa saiyang payo.
Hindi ko alam paano magpasalamat.,I don't know how to say thank you.,Dili ko kabalo unsaon pagpasalamat.,Eku balu makananu kung sabyan salamat.,Dai ko aram kun pano magsabi nin salamat.
Hindi mo kailangang gawin iyan ngayon mismo.,You don't have to do that right now.,Dili nimo kinahanglan nga buhaton kana karon dayon.,E mu kailangan gawan ita ngeni.,Dai mo kaipuhan na gibohon iyan ngonyan.
Ingat! Paririto ang kotse.,Take care! The car is here.,Pag-amping! Padulong diri ang sakyanan.,Mimingat! Ing saken atyu keni.,Mag-ingat ka! Yaon digdi an kotse.
Ako ay may kapayapaan sa bahay.,I have peace at home.,Naa koy kalinaw sa balay.,Atin kung kapayapan keng bale.,Igwa akong katuninungan sa harong.
Itinatago ni Tom ang lahat ng mga liham na sa kanya ay pinadala ng kanyang nanay.,Tom keeps all the letters that his mother sent him.,Ginatago ni Tom tanan sulat nga gipadala sa iyang inahan.,I Tom tatalan no ngan deng sulat a peparala nang ima na kaya.,Itinatago ni Tom an gabos na surat na ipinadara saiya kan saiyang ina.
Ang sobrang tangkad niya!,He is so tall!,Katangkad niya!,Matas ya!,Halangkawon siya!
Umaga na. Ang mga bata ay nag-aagahan.,It's morning. Children eat breakfast.,Buntag na. Nagapamahaw ang mga bata.,Abak na. Deng anak mamangan lang almusal.,Aga na. An mga aki nagkakakan nin pamahaw.
Ako ay isang kusinero.,I am a cook.,Usa ko ka kusinero.,metung kung lutu.,Ako sarong paraluto.
Gusto ko ng servesa.,I want a server.,Ganahan ko og servesa.,Buri kung server.,Gusto ko nin serbidor.
Pinapakain ni Tom ang kanyang aso dalawang beses sa isang araw.,Tom feeds his dog twice a day.,Ginapakaon ni Tom ang iyang iro duha ka higayon sa usa ka adlaw.,Papakanan neng Tom ing asu na adwang besis keng aldo.,Pinapakakan ni Tom an saiyang ayam nin duwang beses kada aldaw.
Humingi siya sa akin ng pahintulot para gamitin niya ang telepono.,He asked me for permission to use the phone.,Nananghid siya sa akoa aron gamiton niya ang telepono.,Mekisabi yang permisu kanaku para gamitan ne ing teleponu.,Naghagad siya sako nin permiso na gamiton an telepono.
Siya ba ay tinawagan mo na?,Have you called him yet?,Gitawagan na ba nimo siya?,tinawag me ne?,Inapod mo na siya?
May isang hotel dito.,There is a hotel here.,Adunay usa ka hotel diri.,Atin hotel keni.,Igwa nin hotel digdi.
"Gusto mo bang maging milyonaryo? ""Sinong may ayaw?""","Do you want to be a millionaire? ""Who doesn't want?""","Gusto ba ka mahimong milyanoryo? Kinsa ba ang dili gusto?""","Buri mu bang maging milyonaryo? ""Ninu ing e bisa?""","Gusto mo daw magin milyonaryo? ""Siisay an habo?"""
Siya ay nakakapagsalita ng limang mga wika.,He can speak five languages.,Kabalo siya mostorya og lima ka linggwahe.,Malyari yang magsalitang limang amanu.,Makataram siya nin limang tataramon.
Ang kanyang ambisyon ang umudyok sa kanyang magtrabaho nang husto.,His ambition drives him to work hard.,Ang iyang pangandoy ang nagtulak sa iya nga magtrabaho og maayo.,Ing ambisyun na ing mag drive kaya para magobra yang masipag.,An saiyang ambisyon an nagtutulod saiya na magtrabaho nin maigot.
Andito siya!,He's here!,Naa na siya!,Atyu ya keni!,Yaon na siya!
Ito ang unang beses na inimbitahan ko si Mary.,This is the first time I have invited Mary.,Kini ang unang higayon nga giimbitahan nako si Mary.,Iti ing mumunang besis a inagkat ke i Maria.,Ini an enot na pagkakataon na inimbitaran ko si Maria.
"Sa panahong iyon, ang aking bahay ay ginagawa pa lamang.","At that time, my house was still under construction.","Kato nga panahon, ang akong balay ginahimo pa lamang.","Kanita, gagawan de pa ing bale mi.","Kan panahon na idto, itinotogdok pa an sakong harong."
"Sa kabila ng kanyang murang edad, siya ay gumawa ng isang magandang trabaho.","Despite his young age, he did a good job.","Bisag bata pa siya, nagahimo siya og nindot nga trabaho.","Agyang malati ya pa, masanting ing gewa na.","Sa ibong kan saiyang hoben na edad, marahay an saiyang ginibo."
Bakit mo nililinis ang bahay linggo-linggo?,Why do you clean the house every week?,Nganong ginalimpyohan nimo ang balay kada semana?,Bakit balang duminggu maglinis ka bale?,Tano ta naglilinig ka nin harong kada semana?
Mayroon bang hindi sumasang-ayon sa bagong plano?,Does anyone disagree with the new plan?,Naa ba'y dili mo-uyon sa bag-o nga plano?,Atin bang e makisanmetung keng bayung planu?,Igwa daw nin dai minaoyon sa bagong plano?
Nais kong kunin ang pagkakataong ito upang pasalamatan ang lahat na nagbigay ng kanilang kooperasyon.,I would like to take this opportunity to thank everyone who has given their cooperation.,Gusto nako kuhaon ang opurtinadad nga makapasalamat ko sa tanan nga nahatag nilang kooperasyon.,Buri ku pung gamitan ing pagkakataun ayni para pasalamatan ku la ngan ding sablang memye kooperasyun.,Boot ko pong gamiton an pagkakataon na ini para magpasalamat sa gabos na nagtao kan saindang kooperasyon.
Napakawalang kabuluhan!,What nonsense!,Wala'y pulos!,Alang kalokohan!,Kanigoan na kalokohan!
Ibaba mo ang baril.,Put the gun down.,I-naog ang pusil.,Ibili me ing baril.,Ibugtak an badil.
Hindi mo maaaring makuha palagi ang gusto mo.,You can't always get what you want.,Dili nimo kinahanglan makuha pirmi ang imong gusto.,Emu parating akwa ing buri mu.,Dai mo pirming makukua an saimong gusto.
"Oo, gusto ko iyan.","Yes, I like that.","Oo, ganahan ko ana.","wa, buri ke ita.","Iyo, gusto ko iyan."
Sarado ang tindahan nang pinuntahan ko.,The store was closed when I went.,Sira ang tindahan katong ni-adto ko.,Saradu ya ing tindahan inyang minta ku.,Sarado an tindahan kan ako magduman.
Isang bagay na kailangan mong malaman tungkol sa akin ay ayaw na ayaw kong mag-ehersisyo.,One thing you need to know about me is that I hate working out.,Usa ka butang nga kinahanglan nimo mahibal-an mahitungod sa ako kay dili gyud ko ganahan mag-ehersisyo.,Metung a bage a kailangan mung abalu tungkul kanaku yapin ing e ku buri ing mag-workout.,Sarong bagay na kaipuhan mong maaraman manungod sako iyo na habo kong mag-ehersisyo.
Sinabi niya sa kanya na susunod siya kahit saan man siya pupunta.,He tells her that he will follow her wherever she goes.,Gi-ingon niya sa iyaha nga mosunod siya bisag asa man siya maka-adto.,Sabi na kaya na tukian ne nung nukarin ya munta.,Sinasabihan niya ini na susundan niya ini saen man siya magduman.
Hinanap kita.,I looked for you.,Gipangita tika.,Penintun daka.,Hinanap taka.
Siya ay ipinanganak sa Aprika.,He was born in Africa.,Gipanganak siya sa Aprika.,Mibait ya king Africa.,Siya natawo sa Aprika.
Si Tom ay isang kilalang pintor.,Tom is a famous painter.,Si Tom kay usa ka ilado nga pintor.,I Tom metung yang sikat a pintor.,Si Tom sarong bantog na pintor.
Ano ang inihampas nila sa iyo?,What did they hit you with?,Unsa ang ilang gihapak sa imo?,Nanu ing tigkil da keka?,Ano an saindang tinamaan saimo?
Dapat maghugas ng kamay bago kumain.,Must wash hands before eating.,Kinahanglan manghugas og kamot bag-o mokaon.,kailangan maghugas gamat bayu mangan.,Kaipuhan maghanaw nin kamot bago magkakan.
Ang mesang ito ay marumi.,This table is dirty.,Kini nga lamesa kay hugaw.,Marinat ya ining lamesa.,Maati an lamesa na ini.
Bakit hindi tayo lumipat sa mesang yaon?,Why don't we move to that table?,Ngano dili man ta mobalhin ato nga lamesa?,Bakit e tamu lumipat king lamesa a ita?,Tano ta dai kita magbalyo sa lamesa na iyan?
Iyan ang gusali kung saan nagtatrabaho ang aking tatay.,That's the building where my dad works.,Dira nga gambalay nanarbaho ang akong amahan.,Ita ing building nung nukarin ya magobra i tatang ku.,Iyan an edipisyo kun saen nagtatrabaho an sakong ama.
Kahit kailan hindi kita lolokohin!,I will never fool you!,Bisag kanus-a dili tika ilaron!,E da kayu paburen kapilan man!,Dai taka nanggad lolokohon!
Sana wala kang sinabi sa kanya tungkol sa plano.,I hope you didn't tell him anything about the plan.,Unta wala ka'y gisulti sa iya mahitungod sa plano?,Sana ala kang sinabi kaya tungkul keng planu.,Sana mayo kang sinabi saiya manungod sa plano.
Hindi ka Mehikano?,You're not Mexican?,Dili ka Mehikano?,E ka Mexicano?,Bako kang Mehikano?
"Oo, ngunit ako ay nakatira ngayon sa Arhentina.","Yes, but I now live in Argentina.","Oo, pero diri ko nagpuyo karon sa Arhentina.","Wa, pero manuknangan ku ngeni keng Argentina.","Iyo, alagad nakaistar na ako ngonyan sa Argentina."
Iyan ay hindi tama; humingi ka ng paumanhin sa kanya.,That's not right; apologize to him.,"Sayop kana, pangayo og pasaylo sa iyaha.",E ustu ita; manyawad kang tawad kaya.,Bakong tama iyan; maghagad nin tawad saiya.
Ang babae ay mataba.,The woman is fat.,Tambok ang babae.,Mataba ya ing babae.,Mataba an babae.
Sasagot sila.,They will answer.,Motubag sila.,Makibat la.,Sinda an masimbag.
Napakatahimik.,Very quiet.,Kahilom.,tahimik.,Toninong na gayo.
Nauubos na ang panahon natin.,Our time is running out.,Mahurot na ang atong mga panahon.,Mapupus na ing oras tamu.,Nauubos na an satong panahon.
Bumili si Tom ng isang trak na gamit na.,Tom bought a used truck.,Nipalit si Tom og usa ka trak nga ginamit na.,Memili yang gamit nang truck i Tom.,Si Tom nagbakal nin sarong ginamit na trak.
Si Tom ay ikinulong nila.,Tom was imprisoned by them.,Gikulong nila si Tom.,I Tom mesukul ya karela.,Si Tom ibinilanggo ninda.
Siya ang nagpagawa sa kanya niyan.,He made her do that.,Nagpahimo siya sa iyaha ana.,gewa na ita.,Pinagibo niya ini saiya.
Ang gusto lamang naming gawin ay ang kumain.,All we want to do is eat.,Ang gusto lamang namo nga buhaton kay ang mokaon.,"Ing buri mi mung gawan, mangan.",An gusto mi sanang gibohon iyo an magkakan.
Gusto ko sanang makita ang iyong koleksyon ng mga selyos.,I would love to see your stamp collection.,Gusto unta nako makit-an ang imong koleksyon sa mga selyo.,Buri kung akit ing kekang koleksyon ning selyu.,Gusto kong mahiling an saimong koleksyon nin mga selyo.
Paghatian ninyong tatlo ang keyk na iyan.,Divide that cake between the three of you.,Hati-a ninyo nang tulo ang keyk.,Ibye me ing cake kekayung atlu.,Bangaon an cake na iyan sa saindong tolo.
Gusto ko lamang makita kung ano ang mangyayari.,I just want to see what happens.,Gusto lang nako makit-an kung unsa ang mahitabo.,Buri ku mung akit nung nanu ing malyari.,Gusto ko lang mahiling kun ano an mangyayari.
Ingatan mo si Tom.,Take care Tom.,Ampingi si Tom.,Ingat ka Tom.,Mag-ingat ka Tom.
"Kahit pagod, nagpatuloy ako sa pagtatrabaho.","Even though I was tired, I continued to work.","Bisag kapoy, nagpadayon ko sa pagpanarbaho.","Agyang mapagal ku, patuloy kung magobra.","Dawa pagal na ako, padagos akong nagtrabaho."
Ako ay nalito sa ekspresyon ng kanyang mukha.,I was confused by the expression on his face.,Nalibog ko sa ekspresyon sa iyang nawong.,megulu ku keng itsura na ning lupa na.,Nalibog ako sa ekspresyon kan saiyang lalawgon.
Ipinapangako ko sa iyo na hindi ko na gagawin iyan muli kahit kailan.,I promise you I will never do that again.,Nagasaad ko nga dili na nako na buhaton og usab hantod sa hantod.,Pangaku ku keka na eku na gawan ita pasibayu.,Nanunuga ako saimo na dai ko na iyan gigibohon giraray.
Naiintindihan ko bakit.,I understand why.,Nakasabot ko og ngano.,aintindian ku nung bakit.,Nasasabotan ko kun tano.
Ang dami kong tanong.,I have so many questions.,Daghan ko og mga pangutana.,Dakal ku kutang.,Dakul akong kahaputan.
Niloloko mo ba ako?,are you fooling me,Gina-ilad ko nimo?,loloko mu ku ba,pigloloko mo ako
Ako ay magtatrabaho buong araw bukas.,I will work all day tomorrow.,Magtrabaho ko tibuok adlaw ugmang adlawa.,Magobra kung mabilug a aldo bukas.,Magtatrabaho ako sa bilog na aldaw saaga.
"Sa dahilan na hindi ko kayang bayaran ang alkila, humingi ako sa kanya ng tulong.","Because I couldn't pay the rent, I asked him for help.","TUngod kay dili na nako kaya bayaran ang renta, nangayo oko og tabang sa iya.","Uling eku agyung bayaran ing renta, menyad kung saup kaya.","Huli ta dai ko kayang bayadan an arkila, naghagad ako nin tabang sa saiya."
Ano ang kinain mo?,what did you eat,Unsa ang imong gikaon?,nanu ing pengan mu,ano an kinakan mo
Ibebenta ko ang aking bahay.,I will sell my house.,Ibaligya nako ang akong balay.,Ibili ke ing bale ku.,Ipapabakal ko an sakong harong.
Ang rosas na ito ay maganda.,This rose is beautiful.,Nindot kini nga rosas.,Masanting ya ining rosas.,Magayon an rosas na ini.
May lindol kahapon.,There was an earthquake yesterday.,Adunay linog kagahapon.,Atin linug napun.,May linog kasuodma.
Lumindol kahapon.,There was an earthquake yesterday.,Naglinog kagahapon.,Atin linug napun.,May linog kasuodma.
Tumawa ang dalawang batang babae.,The two girls laughed.,Nikatawa ang duha ka bata nga babae.,Mekatawa la reng adwang dalagita.,Nagngisi an duwang daragita.
Kunin mo iyan.,Take that.,Kuhaa na.,Kuanan me ita.,Kuanon mo iyan.
Kahit kailan hindi siya bumiyahe sa tren.,He never traveled by train.,"Bisag kanus-a, dili siya nagasakay sa tren.",E ya bitasang miglakbe keng tren.,Dai siya nagbiyahe sakay nin tren.
Sa Internet mo ba nahanap iyan?,Did you find that on the Internet?,Sa internet ba na nimo nakit-an?,Ikit me ba ita keng internet?,Nakua mo daw iyan sa Internet?
Si Mary ay rispetado ng lahat.,Mary is respected by everyone.,Si Mary kay respetado sa tanan.,I Maria gagalangan de ring sabla.,Si Maria iginagalang kan gabos.
Palagi kong kinikiliti ang paa ng aking bunsong kapatid.,I always tickle my youngest brother's feet.,Pirmi nako ginagitik ang mga tiil sa akong kinamahuran nga igsuong lalaki.,Parati keng kikiliti ing bitis ning bunsu ku.,Pirmi kong kikiliti an bitis kan bunso kong tugang.
Ikinalungkot niya nang husto ang balita.,He was deeply saddened by the news.,Gikasubo niya og maayo ang balita.,Melungkut ya king balita.,Namundo siyang marhay sa bareta.
Sa atin ang tagumpay.,Victory is ours.,Sa atoa ang kadaogan!,Tagumpe kekatamu.,Sato an kapangganahan.
Umuulan noong ako ay pumapasyal kahapon.,It was raining when I was walking yesterday.,Niulan katong pagsuroy nako kagahapon.,Mauran anyang maglakad ku napun.,Nag-uuran kan naglalakaw ako kasuodma.
Nais kong manirahan sa Italya.,I want to live in Italy.,Gusto nako mopuyo sa Italya.,Buri kung manuknangan keng Italy.,Gusto kong mag-istar sa Italya.
Ako ay nasa silid-aklatan.,I am in the library.,Naa ko karo sa silid-aklatan.,atyu ku keng library.,Yaon ako sa libreriya.
Anong kalat!,What a mess!,Kagubot!,Nanu ing gulo!,Kanigoan na karibokan!
Sinampal ko siya.,I slapped him.,Gisagpa nako siya.,Sinampal ke.,Gisampal ko siya.
Sinabi sa akin ni Tom na hindi niya nakilala si Mary sa huling pagkikita nila.,Tom told me he didn't recognize Mary the last time they met.,Niingon si Tom sa akoa nga wala siya nakaila kay Mary katong ulahi nila nga panagkita.,sinabi nang Tom kaku na e ne akilala i Mary inyang tauli dang pamikit.,Sinabi sako ni Tom na dai niya namidbid si Mary kan huring pagkakataon na sinda nagkamidbidan.
Naglalaro ako noong naramdaman ko ang lindol.,I was playing when I felt the earthquake.,Nagadula ako katong nakabati ko sa linog.,Maglaram ku anyang dimdam ke ing linug.,Nagtutugtog ako kan namatean ko an linog.
Dumugo ang kanyang sugat.,His wound bled.,Nagdugo ang iyahang samad.,Migdugo ya ing sugat na.,Nagdugo an saiyang lugad.
"Tuwing siya ay kumakanta, tila siya ay sinasabayan ng lahat ng mga ibon.","Whenever he sings, all the birds seem to accompany him.","Samtang siya kay nagakanta, mura siyag ginasabayan sa mga langgam.","Nung magkanta ya, ding sablang ayup balamu kayabe de.","Sa kada pagkanta niya, garo baga iniibanan siya kan gabos na gamgam."
Madilim na madilim doon sa labas.,It's very dark out there.,Pirting ngit-ngita didto sa gawas.,Sobrang madalumdum karin.,Madiklom na marhay duman sa luwas.
Ang daming bulok na mansanas sa buslo.,A lot of rotten apples in the bush.,Daghan og lata nga mansanas sa bukag.,Dakal a bulok a mansanas keng gabun.,Dakul na mga bulok na mansanas sa kagurangan.
Magsisimula tayo sa loob ng kalahating oras!,We start in half an hour!,Magsugod kita sa sulod sa tunga sa oras.,Magumpisa kami keng kapitnang oras!,Magpopoon kami sa laog nin kabangang oras!
Naiintindihan mo ba siya?,Do you understand him?,Nakasabot ba ka sa iyaha?,Aintindian me kaya?,Nasasabotan mo daw siya?
"Naku, ang lamig ngayon.","Oh, it's cold today.","Hala, katugnaw karon.","O, marimla ngeni.","Oh, malipot ngunyan na aldaw."
"Alagaan mo siyang mabuti, na siya ay gagaling sa madaling panahon.","Take good care of him, he will get well soon.",Ampingi siya og maayo aron nga paspas ang iyahang pagka-ayo.,"Ingatan meng masalese, kumayap yang agad.","Atamanon mo siya nin marhay, mararahay siya sa dai mahahaloy."
Pwede mo bang sabihin ang kaibhan sa pagitan ng isang Hapon at isang Tsino?,Can you tell the difference between a Japanese and a Chinese?,Mamahimo mo bang masulti ang kalahian sa usa ka Hapon ug sa usa ka Intsik?,Malyari meng abalu ing pamiyaliwa ning metung a Hapon ampo ing metung a Intsik?,Masasabi mo daw an pagkakaiba kan sarong Hapon asin sarong Intsik?
"Kahit na maysakit ako isang buwan na, ginagawa ko ang lahat para gumaling.","Even though I've been sick for a month, I'm doing everything to get better.","Bisan pa og aduna koy sakit sulod sa usa ka bulan, ginabuhat gihapon nako ang tanan aron maayo ko.","Agyang pabulan na kung magkasakit, gagawan ku ngan ing egana-gana para kumayap ku.","Dawa sarong bulan na akong naghehelang, ginigibo ko an gabos tanganing marahay."
Bumilang ako hanggang 200.,I counted to 200.,Nag-ihap ko hantod duha ka gatos.,mebilang ku angga 200.,Nagbilang ako sagkod sa 200.
"Ikaw ay dumating sa paaralan kahapon, hindi ba?","You came to school yesterday, didn't you?","Niabot ka sa eskwelahan kagahapon, di ba?","Dinatang ka keng eskwela napun, ali?","Nag-abot ka sa eskwelahan kasuodma, bako?"
Siya ay kaibigan mo.,He is your friend.,Higala nimo siya.,Iya ing kekang kakaluguran.,Siya an saimong katood.
